username;date;answer;
anonymous_714;2020-04-02 15:49:51;8800;
anonymous_714;2020-04-02 15:49:51;22;
anonymous_714;2020-04-02 15:49:51;Férfi;
anonymous_714;2020-04-02 15:49:51;Egyéb;
anonymous_714;2020-04-02 15:49:51;PRÓBA;
anonymous_715;2020-04-02 15:54:08;8800;
anonymous_715;2020-04-02 15:54:08;20;
anonymous_715;2020-04-02 15:54:08;Férfi;
anonymous_715;2020-04-02 15:54:08;Bicikli;
anonymous_716;2020-04-05 10:08:10;8800;
anonymous_716;2020-04-05 10:08:10;51;
anonymous_716;2020-04-05 10:08:10;Nő;
anonymous_716;2020-04-05 10:08:10;Egyéb;
anonymous_716;2020-04-05 10:08:10;autó;
anonymous_717;2020-04-06 18:10:53;8800;
anonymous_717;2020-04-06 18:10:53;23;
anonymous_717;2020-04-06 18:10:53;Férfi;
anonymous_717;2020-04-06 18:10:53;Bicikli;
anonymous_719;2020-04-06 18:18:00;8800;
anonymous_719;2020-04-06 18:18:00;47;
anonymous_719;2020-04-06 18:18:00;Férfi;
anonymous_719;2020-04-06 18:18:00;Tömegközlekedés;
anonymous_720;2020-04-06 18:21:17;8800;
anonymous_720;2020-04-06 18:21:17;85;
anonymous_720;2020-04-06 18:21:17;Nő;
anonymous_720;2020-04-06 18:21:17;Tömegközlekedés;
anonymous_721;2020-04-06 18:22:13;8800;
anonymous_721;2020-04-06 18:22:13;68;
anonymous_721;2020-04-06 18:22:13;Nő;
anonymous_721;2020-04-06 18:22:13;Tömegközlekedés;
anonymous_722;2020-04-06 18:24:20;8800;
anonymous_722;2020-04-06 18:24:20;62;
anonymous_722;2020-04-06 18:24:20;Férfi;
anonymous_722;2020-04-06 18:24:20;Bicikli;
anonymous_723;2020-04-06 18:24:57;8800;
anonymous_723;2020-04-06 18:24:57;33;
anonymous_723;2020-04-06 18:24:57;Nő;
anonymous_723;2020-04-06 18:24:57;Bicikli;
anonymous_724;2020-04-06 18:25:59;8800;
anonymous_724;2020-04-06 18:25:59;47;
anonymous_724;2020-04-06 18:25:59;Férfi;
anonymous_724;2020-04-06 18:25:59;Tömegközlekedés;
anonymous_725;2020-04-06 18:28:28;8800;
anonymous_725;2020-04-06 18:28:28;Férfi;
anonymous_725;2020-04-06 18:28:28;Egyéb;
anonymous_726;2020-04-06 18:28:40;8800;
anonymous_726;2020-04-06 18:28:40;42;
anonymous_726;2020-04-06 18:28:40;Férfi;
anonymous_726;2020-04-06 18:28:40;Tömegközlekedés;
anonymous_727;2020-04-06 18:29:41;8800;
anonymous_727;2020-04-06 18:29:41;22;
anonymous_727;2020-04-06 18:29:41;Férfi;
anonymous_727;2020-04-06 18:29:41;Tömegközlekedés;
anonymous_728;2020-04-06 18:29:56;8800;
anonymous_728;2020-04-06 18:29:56;12;
anonymous_728;2020-04-06 18:29:56;Nő;
anonymous_728;2020-04-06 18:29:56;Tömegközlekedés;
anonymous_729;2020-04-06 18:32:34;8800;
anonymous_729;2020-04-06 18:32:34;17;
anonymous_729;2020-04-06 18:32:34;Nő;
anonymous_729;2020-04-06 18:32:34;Tömegközlekedés;
anonymous_730;2020-04-06 18:34:48;8800;
anonymous_730;2020-04-06 18:34:48;50;
