Feature,r1,r2,r3,r4,r5,r6,r7,agree?,agree no r5 and r6,,
Cloud,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,IRR with all 7,0.296875
Car,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Neutral,FALSE,TRUE,IRR without r5 and r6,0.371875
Vehicle,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Neutral,FALSE,TRUE,,
Sky,Negative,Negative,Negative,Neutral,Positive,Positive,Neutral,FALSE,FALSE,,
Building,Negative,Neutral,Positive,Neutral,Positive,Neutral,Neutral,FALSE,FALSE,,
Window,Negative,Negative,Negative,Neutral,Positive,Neutral,Negative,FALSE,FALSE,,
Infrastructure,Negative,Neutral,Negative,Negative,Positive,Neutral,Neutral,FALSE,FALSE,,
Wheel,Neutral,Positive,Neutral,Positive,Negative,Neutral,Neutral,FALSE,FALSE,,
Automotive lighting,Neutral,Neutral,Positive,Negative,Positive,Neutral,Neutral,FALSE,FALSE,,95
Asphalt,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Neutral,FALSE,TRUE,,
Property,Negative,Neutral,Negative,Neutral,Positive,Neutral,Negative,FALSE,FALSE,,
Urban design,Negative,Negative,Negative,Neutral,Positive,Neutral,Negative,FALSE,FALSE,,
Font,Neutral,Negative,Negative,Neutral,Positive,Neutral,Negative,FALSE,FALSE,,
Screenshot,Neutral,Negative,Negative,Neutral,Neutral,Neutral,Negative,FALSE,FALSE,,
Road surface,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,FALSE,FALSE,,
Fixture,Neutral,Negative,Negative,Neutral,Negative,Neutral,Negative,FALSE,FALSE,,
Architecture,Negative,Negative,Positive,Negative,Positive,Neutral,Negative,FALSE,FALSE,,
Brick,Neutral,Positive,Negative,Positive,Neutral,Neutral,Positive,FALSE,FALSE,,
Wall,Positive,Neutral,Positive,Negative,Negative,Negative,Neutral,FALSE,FALSE,,
Facade,Positive,Negative,Negative,Neutral,Positive,Neutral,Neutral,FALSE,FALSE,,
Door,Negative,Positive,Negative,Neutral,Positive,Neutral,Positive,FALSE,FALSE,,
Tire,Neutral,Positive,Positive,Positive,Negative,Neutral,Positive,FALSE,FALSE,,
Automotive parking light,Neutral,Neutral,Positive,Neutral,Negative,Neutral,Positive,FALSE,FALSE,,
Land vehicle,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Neutral,FALSE,TRUE,,
Motor vehicle,Neutral,Neutral,Neutral,Positive,Positive,Neutral,Neutral,FALSE,FALSE,,
Automotive design,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,FALSE,TRUE,,
Brickwork,Neutral,Neutral,Negative,Positive,Neutral,Neutral,Negative,FALSE,FALSE,,
Plant,Negative,Neutral,Negative,Neutral,Positive,Positive,Negative,FALSE,FALSE,,
Tree,Negative,Negative,Negative,Neutral,Positive,Positive,Negative,FALSE,FALSE,,
Neighbourhood,Neutral,Neutral,Negative,Neutral,Positive,Neutral,Negative,FALSE,FALSE,,
Sidewalk,Negative,Neutral,Negative,Neutral,Positive,Positive,Negative,FALSE,FALSE,,
City,Negative,Neutral,Neutral,Positive,Positive,Neutral,Neutral,FALSE,FALSE,,
Metropolitan area,Negative,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,FALSE,FALSE,,
Vehicle registration plate,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,FALSE,FALSE,,
Lighting,Negative,Neutral,Negative,Negative,Positive,Neutral,Negative,FALSE,FALSE,,
Mode of transport,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Real estate,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,FALSE,FALSE,,
Wood,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Negative,FALSE,FALSE,,
Road,Neutral,Neutral,Positive,Neutral,Positive,Neutral,Positive,FALSE,FALSE,,
House,Neutral,Negative,Negative,Neutral,Positive,Neutral,Negative,FALSE,FALSE,,
Automotive tail & brake light,Neutral,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,FALSE,FALSE,,
Photograph,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Signage,Negative,,Negative,Neutral,Positive,Neutral,Negative,FALSE,FALSE,,
Video game software,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Multimedia,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
