"","Adaptation","Advertising","Architecture","Asphalt","Automotive","Awning","Banner","Bicycle","Biome","Brick","Brickwork","Building","Car","Chair","City","Cloud","Commercial","Condominium","Display","Door","Ecoregion","Facade","Fixture","Font","Games","Gas","Grass","Home","House","Human","Infrastructure","Land","Landscape","Light","Lighting","Line","Logo","Metropolitan","Mixed-use","Mode","Motor","Multimedia","Musical","Natural","Nature","Neighbourhood","Parking","Pc","Pedestrian","Photograph","Plant","Product","Property","Public","Real","Rectangle","Residential","Retail","Road","Roof","Sash","Screenshot","Shade","Shooter","Sidewalk","Siding","Sign","Signage","Sky","Snapshot","Software","Street","Table","Technology","Tent","Terrestrial","Thoroughfare","Tints","Tire","Travel","Tree","Umbrella","Urban","Vegetation","Vehicle","Video","Wall","Wheel","White","Window","Wood","Woody","World","Yellow","Zebra","link_id","num_images","Apartment","Black","Botany","Branch","Bus","Computer","Concrete","Cottage","Electricity","Fence","Graphics","Grassland","Green","Landmark","Leaf","Machine","Material","Moon","Orange","Room","Slope","Tar","Trunk","Vertebrate","Communication","Cumulus","Daytime","Electronic","Event","Fender","Filling","Flower","Forest","Gadget","Gasoline","Hood","Lawn","Leisure","Mesh","Organism","Output","Parallel","Plain","Rear-view","Rolling","Rural","Tour","Train","Truck","Van","Gps","Groundcover","Hazard","Map","People","Personal","Shrub","Sunlight","Traffic","Atmosphere","Cabinetry","Composite","Floor","Flooring","Geological","Horizon","Interior","Mammal","Prairie","Recreation","Water","Bicycles--Equipment","Passenger","Larch","Competition","Grille","Alloy","Camera","Field","Naval","Sport","Stadium","Animation","Engineering","Art","Brand","Compact","Handwriting","Player","Tower","Symmetry","Arch","Design","Electric","Fruit","Hubcap","Poster","Sink","Suit","Town","Christmas","Hat","Meteorological","Morning","Racing","Runway","Soil","Bird","Crescent","Stairs","Stop","Bumper","Evergreen","Flat","shortstraw","Baseball","Job","Trade","Transport","Waste","Space","Outdoor","Canopy","Sports","Agriculture","Air","Aircraft","Atmospheric","Auto","Flowering","Garden","Gesture","Helmet","Highland","Ladder","Overhead","Picket","Porch","Television","Triangle","Twig","Flowerpot","Lane","signaling","Carnivore","Aerospace","Aviation","Flag","Fuel","Number","Clock","Motorcycle","Astronomical","Mountain","Operating","Guitar","Scoreboard","Race","Metal","Wire","Fashion","Houseplant","Office","Bench","Food","Laptop","Billboard","Cartoon","Motorsport","News","Pole","Screen","Audio","Locomotive","Railroad","Railway","Track","Snow","Pattern","Meadow","id","type","data","gender","poly_area"
"1",8,77,102,1506,987,13,1,15,199,9,5,1680,1077,13,133,1807,12,3,68,129,33,395,52,654,6,42,99,24,119,2,845,383,14,53,205,159,9,12,3,688,802,73,21,74,164,22,12,1,20,380,652,28,364,21,72,6,25,29,949,16,3,637,19,2,12,2,22,121,1624,22,99,144,13,17,6,13,264,2,911,2,812,13,831,39,1245,14,38,857,14,1426,13,62,39,16,4,1,2473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"715","safePolygon","Férfi","Male",15013.4026259035
"2",0,0,21,270,39,1,0,0,8,3,1,266,100,1,53,228,13,1,13,4,2,60,3,116,6,0,6,0,1,0,190,13,4,0,40,6,0,17,0,109,32,41,0,0,2,22,0,0,0,71,45,0,28,22,14,0,4,0,200,0,0,181,2,4,17,0,0,22,229,0,22,16,1,0,1,1,61,0,28,4,46,1,237,0,69,22,3,51,0,200,1,5,0,0,0,10,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"717","safePolygon","Férfi","Male",1847.41845428525
"3",239,0,1259,10117,1468,0,0,0,5612,125,80,8524,2917,0,9,9694,0,0,0,342,1080,1132,342,3329,302,59,2238,20,2972,1,6704,5568,225,958,1712,1943,0,0,0,3461,1073,0,0,2319,3091,257,0,168,0,3159,11217,259,5367,12,388,489,458,0,8001,40,60,6239,181,0,0,99,0,2,12196,0,1025,884,0,372,0,560,2798,0,2513,0,9452,0,4786,575,2527,33,331,2134,99,6063,1111,1462,318,1,0,14,16723,17,25,4,89,99,3,176,6,64,235,675,16,572,55,38,1,234,112,25,18,176,25,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"719","fearPolygon","Férfi","Male",139339.690656602
"4",2549,229,7730,64879,14670,0,0,1,36467,0,0,42716,28953,0,3,69628,0,0,466,3012,5743,5699,1195,20570,0,1533,14715,336,18032,0,39389,29109,935,3396,6987,12450,0,0,0,19119,14754,1202,0,5169,21002,995,0,1,0,19216,75441,1252,28028,132,3701,462,2958,0,45386,142,0,34698,198,419,81,0,0,690,82740,0,4295,5985,0,1176,0,1803,15483,0,12894,0,74790,0,33026,2627,21088,74,648,12018,150,34906,1648,3760,4109,46,0,15,103247,0,0,0,475,566,314,0,1409,148,3067,957,0,1358,0,16,0,0,645,0,0,406,0,0,186,125,173,98,540,1,71,12,381,95,350,13,293,4,138,2,268,3,70,107,1,249,4,63,93,24,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"719","fearPolygon","Férfi","Male",73101.0478753
"5",0,2,14,335,60,5,0,0,38,0,0,300,93,5,114,290,19,0,16,0,0,108,1,149,1,0,6,0,0,1,196,13,0,0,46,8,0,14,0,170,36,51,0,6,7,14,7,0,0,62,74,10,12,26,25,1,0,0,284,0,0,252,5,0,19,0,0,14,266,0,19,33,5,1,0,5,63,0,39,0,82,5,321,0,102,0,1,42,0,186,0,5,4,0,0,16,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"719","safePolygon","Férfi","Male",2224.33746842295
"6",119,0,178,2645,188,0,0,0,2050,0,0,1514,329,0,0,3017,0,0,26,8,1057,0,0,804,0,1,918,0,997,0,1579,2780,261,301,203,650,0,0,0,295,254,0,0,2783,2283,21,0,0,0,366,4808,21,1334,25,20,0,65,0,1714,0,0,1172,0,0,0,0,0,1,4445,0,126,493,0,6,0,344,351,0,176,0,3896,0,1502,313,294,0,0,91,0,932,15,494,310,1,0,17,4990,0,0,28,33,0,0,0,22,25,152,104,40,294,0,46,0,0,1,0,0,273,0,0,1,7,0,5,0,0,0,0,0,0,44,0,0,0,39,0,45,39,0,0,0,0,0,0,0,0,0,26,1,1,12,42,17,6,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"720","safePolygon","Nő","Female",85777.1476684809
"7",536,2,4506,30882,10916,0,0,0,14779,0,0,20701,12676,0,64,17645,0,872,99,556,12120,2668,229,17513,43,64,7199,136,3346,0,13592,12351,3336,6522,5066,10406,38,0,0,6923,5308,482,0,13075,7131,409,7,3,0,6535,30733,1359,10116,418,1232,223,1441,0,18555,82,0,26449,0,99,0,0,0,0,39762,0,3404,2584,0,524,0,647,2454,34,8973,0,26988,0,18161,398,11954,37,28,6781,43,10445,1881,2418,2325,47,0,18,49105,1,23,0,251,0,62,0,0,0,60,541,2284,66,66,0,85,17,1326,0,137,430,0,0,60,0,1,39,49,0,0,0,0,0,0,0,77,0,0,0,0,270,82,3609,37,0,0,0,0,0,0,0,0,0,1,0,19,0,0,0,65,12,97,71,836,251,420,173,78,31,73,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"720","safePolygon","Nő","Female",71798.6926010549
"8",18,4,105,2260,1745,0,0,9,741,0,0,2095,2085,0,28,1230,0,27,2,0,95,39,0,520,2,25,497,0,21,0,1747,848,13,455,297,222,0,0,0,823,1027,85,0,470,414,83,0,0,0,951,2791,38,915,69,48,0,53,0,1492,0,0,979,2,0,15,0,0,9,2266,0,167,231,0,82,0,75,432,0,1325,0,2452,15,1049,168,2173,30,0,1237,38,1405,1,299,37,15,9,19,3918,0,0,0,8,56,11,0,0,0,1,0,0,22,3,0,0,0,34,0,0,0,0,0,1,0,0,6,29,0,0,0,0,0,12,0,11,0,19,0,0,2,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"720","safePolygon","Nő","Female",51247.3201628625
"9",2,0,40,138,37,0,0,0,94,6,0,156,106,0,0,164,0,0,0,2,26,13,2,42,0,0,21,0,32,0,68,88,0,9,30,14,0,0,0,29,53,0,0,79,57,7,0,0,0,0,180,6,95,9,3,9,15,0,69,0,0,64,0,9,0,0,0,0,176,0,8,14,0,0,0,0,13,0,75,0,176,0,129,31,100,0,7,75,0,114,8,18,19,0,0,20,276,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"721","safePolygon","Nő","Female",1174.91776287928
"10",35,0,26,403,34,0,0,0,376,0,0,409,140,0,0,75,0,0,0,12,29,22,4,229,1,0,211,0,65,0,151,134,23,20,110,65,0,0,0,27,61,1,0,83,352,0,0,0,0,127,518,0,203,0,29,14,0,0,275,0,0,343,0,0,0,0,0,0,419,0,56,12,0,11,0,0,12,0,108,0,560,0,298,17,152,22,16,89,0,372,34,59,140,4,0,21,709,0,0,0,13,0,0,0,0,0,0,40,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"721","safePolygon","Nő","Female",3437.74939183146
