long 16.992349 lat 46.457158 viewpoint 0 degrees.jpeg,Cloud 94,Infrastructure 89,Asphalt 88,Sky 88,Road surface 86,Urban design 85,Window 84,Font 84,Screenshot 83,Line 82
long 16.992349 lat 46.457158 viewpoint 180 degrees.jpeg,Window 92,Sky 92,Cloud 90,Infrastructure 90,Road surface 88,Asphalt 87,Building 86,Urban design 86,Line 83,Thoroughfare 82
long 16.992349 lat 46.457158 viewpoint 270 degrees.jpeg,Property 94,Window 94,Building 92,Architecture 86,Wall 82,Facade 80,Font 78,Urban design 76,Screenshot 73,Rectangle 72
long 16.992349 lat 46.457158 viewpoint 90 degrees.jpeg,Window 95,Building 91,Product 91,Font 83,House 80,Rectangle 80,Facade 79,Screenshot 78,Wood 71,Siding 70
long 16.99235975 lat 46.4572745 viewpoint 0 degrees.jpeg,Cloud 96,Window 91,Infrastructure 90,Asphalt 89,Sky 87,Road surface 86,Mode of transport 86,Urban design 84,Building 83,Screenshot 83
long 16.99235975 lat 46.4572745 viewpoint 180 degrees.jpeg,Cloud 95,Window 93,Sky 93,Infrastructure 90,Road surface 89,Asphalt 88,Building 87,Automotive lighting 86,Urban design 84,Thoroughfare 83
long 16.99235975 lat 46.4572745 viewpoint 270 degrees.jpeg,Wheel 96,Vehicle 93,Tire 93,Car 92,Automotive lighting 91,Building 89,Motor vehicle 87,Window 87,Automotive design 84,Automotive exterior 83
long 16.99235975 lat 46.4572745 viewpoint 90 degrees.jpeg,Building 95,Window 95,Property 94,Font 84,Screenshot 80,Facade 79,Rectangle 76,Siding 74,Brick 72,Signage 71
long 16.9923705 lat 46.457391 viewpoint 0 degrees.jpeg,Cloud 92,Infrastructure 90,Asphalt 88,Building 88,Sky 87,Road surface 87,Window 87,Mode of transport 85,Line 83,Urban design 82
long 16.9923705 lat 46.457391 viewpoint 180 degrees.jpeg,Car 95,Tire 95,Sky 95,Cloud 95,Wheel 91,Window 91,Building 90,Infrastructure 89,Automotive lighting 89,Asphalt 88
long 16.9923705 lat 46.457391 viewpoint 270 degrees.jpeg,Property 94,Window 93,Building 91,Yellow 84,Font 83,Line 82,Rectangle 79,Facade 78,Urban design 78,Screenshot 76
long 16.9923705 lat 46.457391 viewpoint 90 degrees.jpeg,Window 94,Property 94,Building 91,Product 91,Line 82,Font 81,Facade 79,House 79,Screenshot 77,Door 73
long 16.99238125 lat 46.4575075 viewpoint 0 degrees.jpeg,Cloud 94,Sky 94,Window 89,Asphalt 86,Road surface 85,Screenshot 83,Urban design 83,Font 83,Line 82,Building 80
long 16.99238125 lat 46.4575075 viewpoint 90 degrees.jpeg,Building 95,Window 95,Rectangle 86,Architecture 85,Font 83,Line 82,Facade 80,Fixture 80,Brick 78,Automotive exterior 73
long 16.992392 lat 46.457624 viewpoint 0 degrees.jpeg,Building 94,Window 93,Cloud 93,Sky 91,Infrastructure 89,Road surface 88,Asphalt 88,Urban design 84,Line 82,Font 82
long 16.992392 lat 46.457624 viewpoint 180 degrees.jpeg,Cloud 96,Sky 95,Window 90,Building 90,Infrastructure 90,Asphalt 88,Road surface 87,Architecture 85,Urban design 84,Mode of transport 84
long 16.992392 lat 46.457624 viewpoint 270 degrees.jpeg,Building 96,Cloud 92,Window 90,Sky 87,Asphalt 87,Urban design 85,Screenshot 83,Font 77,Road surface 76,Facade 74
long 16.992392 lat 46.457624 viewpoint 90 degrees.jpeg,Window 94,Building 91,Line 82,Font 82,Facade 79,Screenshot 79,Urban design 77,Wood 67,Games 66,Brick 64
long 16.9924026875 lat 46.4572798125 viewpoint 0 degrees.jpeg,Cloud 96,Window 91,Infrastructure 90,Asphalt 89,Sky 87,Road surface 86,Mode of transport 86,Urban design 84,Building 83,Screenshot 83
long 16.9924026875 lat 46.4572798125 viewpoint 180 degrees.jpeg,Cloud 95,Sky 93,Window 93,Infrastructure 90,Road surface 89,Asphalt 88,Building 87,Automotive lighting 85,Urban design 84,Thoroughfare 83
