long 16.994822 lat 46.455074 viewpoint 0 degrees.jpeg,Plant 95,Green 90,Window 90,Building 89,Tree 86,Biome 85,Urban design 85,Grass 82,Screenshot 82,Woody plant 81
long 16.994822 lat 46.455074 viewpoint 180 degrees.jpeg,Plant 95,Property 94,Building 92,Window 91,Urban design 84,Screenshot 81,Real estate 79,Facade 79,House 72,Software 70
long 16.994822 lat 46.455074 viewpoint 270 degrees.jpeg,Cloud 95,Sky 95,Photograph 94,Plant 93,Infrastructure 89,Road surface 88,Lighting 87,Asphalt 87,Tree 87,Urban design 84
long 16.994822 lat 46.455074 viewpoint 90 degrees.jpeg,Cloud 96,Photograph 94,Sky 93,Plant 90,Infrastructure 89,Road surface 89,Asphalt 88,Building 86,Window 86,Urban design 84
long 16.9948595 lat 46.4549965 viewpoint 0 degrees.jpeg,Plant 95,Window 90,Building 88,Tree 86,Biome 85,Urban design 84,Grass 82,Screenshot 82,Woody plant 82,Adaptation 79
long 16.9948595 lat 46.4549965 viewpoint 180 degrees.jpeg,Plant 95,Property 94,Building 92,Window 91,Urban design 84,Screenshot 81,Real estate 79,Facade 79,House 72,Software 70
long 16.9948595 lat 46.4549965 viewpoint 270 degrees.jpeg,Cloud 95,Sky 95,Photograph 94,Plant 93,Infrastructure 89,Road surface 88,Lighting 87,Asphalt 87,Tree 87,Urban design 84
long 16.9948595 lat 46.4549965 viewpoint 90 degrees.jpeg,Cloud 96,Photograph 94,Sky 93,Plant 90,Infrastructure 89,Road surface 89,Asphalt 88,Building 86,Window 86,Urban design 84
long 16.9948945 lat 46.455014 viewpoint 0 degrees.jpeg,Plant 95,Window 90,Building 88,Tree 86,Biome 85,Urban design 84,Grass 82,Screenshot 82,Woody plant 82,Adaptation 79
long 16.9948945 lat 46.455014 viewpoint 180 degrees.jpeg,Plant 95,Property 94,Building 92,Window 91,Urban design 84,Screenshot 81,Real estate 79,Facade 79,House 72,Software 70
long 16.9948945 lat 46.455014 viewpoint 270 degrees.jpeg,Cloud 95,Sky 95,Photograph 94,Plant 93,Infrastructure 89,Road surface 88,Lighting 87,Asphalt 87,Tree 87,Urban design 84
long 16.9948945 lat 46.455014 viewpoint 90 degrees.jpeg,Cloud 96,Photograph 94,Sky 93,Plant 90,Infrastructure 89,Road surface 89,Asphalt 88,Building 86,Window 86,Urban design 84
long 16.994897 lat 46.454919 viewpoint 0 degrees.jpeg,Property 94,Product 91,Fixture 87,Vehicle 85,Automotive exterior 82,Facade 79,Vehicle door 77,Car 75,Door 75,Font 74
long 16.994897 lat 46.454919 viewpoint 180 degrees.jpeg,Plant 96,Tree 89,Asphalt 83,Biome 83,Screenshot 82,Woody plant 82,Public space 81,Leisure 80,Font 80,Urban design 80
long 16.994897 lat 46.454919 viewpoint 270 degrees.jpeg,Property 94,Building 92,Window 87,Sky 85,Asphalt 85,Urban design 84,Screenshot 82,Real estate 80,Facade 76,Font 75
long 16.994897 lat 46.454919 viewpoint 90 degrees.jpeg,Cloud 96,Sky 92,Infrastructure 89,Asphalt 88,Tree 88,Road surface 87,Font 83,Screenshot 83,Public space 81,Urban design 80
long 16.99491075 lat 46.45507025 viewpoint 0 degrees.jpeg,Plant 95,Window 90,Building 88,Tree 86,Biome 85,Urban design 84,Grass 82,Screenshot 82,Woody plant 82,Adaptation 79
long 16.99491075 lat 46.45507025 viewpoint 180 degrees.jpeg,Plant 95,Property 94,Building 92,Window 91,Urban design 84,Screenshot 81,Real estate 79,Facade 79,House 72,Software 70
long 16.99491075 lat 46.45507025 viewpoint 270 degrees.jpeg,Cloud 95,Sky 95,Photograph 94,Plant 93,Infrastructure 89,Road surface 88,Lighting 87,Asphalt 87,Tree 87,Urban design 84
long 16.99491075 lat 46.45507025 viewpoint 90 degrees.jpeg,Cloud 96,Photograph 94,Sky 93,Plant 90,Infrastructure 89,Road surface 89,Asphalt 88,Building 86,Window 86,Urban design 84
long 16.99491325 lat 46.45496325 viewpoint 0 degrees.jpeg,Property 94,Product 91,Fixture 87,Vehicle 85,Automotive exterior 82,Facade 79,Vehicle door 77,Car 75,Door 75,Font 74
long 16.99491325 lat 46.45496325 viewpoint 180 degrees.jpeg,Plant 96,Tree 89,Asphalt 83,Biome 83,Screenshot 83,Woody plant 81,Public space 81,Font 80,Leisure 80,Urban design 80
long 16.99491325 lat 46.45496325 viewpoint 270 degrees.jpeg,Property 94,Building 92,Window 87,Sky 85,Asphalt 85,Urban design 84,Screenshot 82,Real estate 80,Facade 76,Font 75
long 16.99491325 lat 46.45496325 viewpoint 90 degrees.jpeg,Cloud 96,Sky 92,Infrastructure 89,Asphalt 88,Tree 88,Road surface 87,Font 83,Screenshot 83,Public space 81,Urban design 80
long 16.9949436666667 lat 46.4549263333333 viewpoint 0 degrees.jpeg,Property 94,Product 91,Fixture 87,Vehicle 84,Automotive exterior 82,Facade 79,Car 78,Door 77,Vehicle door 77,Font 74
long 16.9949436666667 lat 46.4549263333333 viewpoint 180 degrees.jpeg,Plant 96,Tree 89,Asphalt 83,Biome 83,Screenshot 83,Woody plant 81,Public space 81,Font 80,Leisure 80,Urban design 80
long 16.9949436666667 lat 46.4549263333333 viewpoint 270 degrees.jpeg,Property 94,Building 93,Window 87,Sky 86,Asphalt 84,Urban design 84,Screenshot 82,Real estate 80,Facade 76,Road surface 75
long 16.9949436666667 lat 46.4549263333333 viewpoint 90 degrees.jpeg,Cloud 96,Sky 92,Infrastructure 89,Asphalt 88,Tree 88,Road surface 87,Font 83,Screenshot 83,Public space 81,Urban design 80
