long 16.992309 lat 46.465 viewpoint 0 degrees.jpeg,Cloud 97,Sky 95,Photograph 94,Infrastructure 91,Road surface 90,Asphalt 89,Tree 88,Wheel 88,Plant 88,Street light 87
long 16.992309 lat 46.465 viewpoint 90 degrees.jpeg,Car 98,Cloud 97,Wheel 97,Sky 96,Vehicle 94,Motor vehicle 92,Tire 92,Tree 90,Infrastructure 89,Plant 88
long 16.9923434 lat 46.4648698 viewpoint 0 degrees.jpeg,Cloud 97,Sky 95,Infrastructure 90,Asphalt 89,Road surface 88,Tree 85,Urban design 84,Plant 84,Mode of transport 84,Thoroughfare 84
long 16.9923434 lat 46.4648698 viewpoint 180 degrees.jpeg,Automotive parking light 97,Sky 97,Car 96,Cloud 95,Vehicle 95,Plant 94,Motor vehicle 93,Building 92,Tire 91,Infrastructure 89
long 16.9923434 lat 46.4648698 viewpoint 270 degrees.jpeg,Building 97,Sky 95,Plant 95,Property 94,Cloud 92,Window 90,Nature 90,House 89,Land lot 87,Architecture 85
long 16.9923434 lat 46.4648698 viewpoint 90 degrees.jpeg,Automotive parking light 98,Cloud 97,Car 97,Tire 97,Land vehicle 97,Vehicle 96,Sky 95,Motor vehicle 93,Automotive lighting 91,Vehicle registration plate 90
long 16.9923778 lat 46.4647396 viewpoint 0 degrees.jpeg,Sky 97,Cloud 97,Property 94,Plant 93,Vehicle 92,Car 90,Infrastructure 90,Asphalt 89,Road surface 88,Motor vehicle 88
long 16.9923778 lat 46.4647396 viewpoint 180 degrees.jpeg,Cloud 97,Sky 96,Infrastructure 91,Asphalt 89,Road surface 89,Lighting 87,Tree 86,Mode of transport 86,Thoroughfare 84,Plant 84
long 16.9923778 lat 46.4647396 viewpoint 270 degrees.jpeg,Building 97,Plant 96,Property 94,Cloud 94,Photograph 94,Window 92,Nature 90,House 89,Sky 87,Tree 87
long 16.9923778 lat 46.4647396 viewpoint 90 degrees.jpeg,Cloud 95,Property 94,Ecoregion 92,Nature 90,Plant 90,Tree 89,Building 87,Sky 86,Land lot 85,Asphalt 84
long 16.99295492 lat 46.46399664 viewpoint 0 degrees.jpeg,Window 94,Building 94,Plant 93,Green 90,Architecture 85,Wood 85,Biome 84,House 83,Wall 81,Urban design 81
long 16.99295492 lat 46.46399664 viewpoint 180 degrees.jpeg,Building 95,Property 94,Plant 94,Window 94,House 87,Land lot 86,Biome 83,Grass 81,Residential area 80,Urban design 80
long 16.99295492 lat 46.46399664 viewpoint 270 degrees.jpeg,Sky 94,Property 94,Photograph 94,Cloud 94,Window 93,Building 92,Plant 91,Infrastructure 90,Road surface 89,Asphalt 88
long 16.99295492 lat 46.46399664 viewpoint 90 degrees.jpeg,Cloud 97,Tire 96,Car 96,Wheel 96,Property 94,Sky 93,Vehicle 91,Infrastructure 90,Tree 89,Asphalt 89
long 16.9929618 lat 46.4639706 viewpoint 0 degrees.jpeg,Window 94,Building 94,Plant 93,Green 90,Architecture 85,Wood 85,Biome 84,House 83,Wall 81,Urban design 81
long 16.9929618 lat 46.4639706 viewpoint 180 degrees.jpeg,Building 95,Property 94,Plant 94,Window 94,House 87,Land lot 86,Biome 83,Grass 81,Residential area 80,Urban design 80
long 16.9929618 lat 46.4639706 viewpoint 270 degrees.jpeg,Sky 94,Property 94,Photograph 94,Cloud 94,Window 93,Building 92,Plant 91,Infrastructure 90,Road surface 89,Asphalt 88
long 16.9929618 lat 46.4639706 viewpoint 90 degrees.jpeg,Cloud 97,Tire 96,Wheel 96,Car 96,Property 94,Photograph 94,Sky 92,Infrastructure 90,Vehicle 90,Asphalt 89
long 16.9929703666667 lat 46.4639982333333 viewpoint 0 degrees.jpeg,Window 94,Building 94,Plant 93,Green 90,Architecture 85,Wood 85,Biome 84,House 83,Wall 81,Urban design 81
long 16.9929703666667 lat 46.4639982333333 viewpoint 180 degrees.jpeg,Building 95,Property 94,Plant 94,Window 94,House 87,Land lot 86,Biome 83,Grass 81,Residential area 80,Urban design 80
long 16.9929703666667 lat 46.4639982333333 viewpoint 270 degrees.jpeg,Sky 94,Property 94,Photograph 94,Cloud 94,Window 93,Building 92,Plant 91,Infrastructure 90,Road surface 89,Asphalt 88
long 16.9929703666667 lat 46.4639982333333 viewpoint 90 degrees.jpeg,Cloud 97,Tire 96,Wheel 96,Car 96,Property 94,Photograph 94,Sky 92,Infrastructure 90,Vehicle 90,Asphalt 89
long 16.9929814 lat 46.4639993714286 viewpoint 0 degrees.jpeg,Window 94,Building 94,Plant 93,Green 90,Architecture 85,Wood 85,Biome 84,House 83,Wall 81,Urban design 81
long 16.9929814 lat 46.4639993714286 viewpoint 180 degrees.jpeg,Building 95,Property 94,Plant 94,Window 94,House 87,Land lot 86,Biome 83,Grass 81,Residential area 80,Urban design 80
long 16.9929814 lat 46.4639993714286 viewpoint 270 degrees.jpeg,Sky 94,Property 94,Photograph 94,Cloud 94,Window 93,Building 92,Plant 91,Infrastructure 90,Road surface 89,Asphalt 88
long 16.9929814 lat 46.4639993714286 viewpoint 90 degrees.jpeg,Cloud 97,Tire 96,Wheel 96,Car 96,Property 94,Photograph 94,Sky 92,Infrastructure 90,Vehicle 90,Asphalt 89
