long 17.00608 lat 46.455222 viewpoint 0 degrees.jpeg,Photograph 94,Light 91,Road surface 91,Infrastructure 91,Asphalt 89,Sky 88,Mode of transport 87,Lighting 87,Thoroughfare 86,Tree 86
long 17.00608 lat 46.455222 viewpoint 180 degrees.jpeg,Window 92,Infrastructure 90,Black 90,Tree 89,Asphalt 89,Road surface 88,Plant 86,Mode of transport 86,Architecture 85,Sky 84
long 17.00608 lat 46.455222 viewpoint 270 degrees.jpeg,Plant 94,Window 91,Light 91,World 91,Tree 88,Sky 86,Biome 83,Screenshot 83,Font 79,Building 79
long 17.00608 lat 46.455222 viewpoint 90 degrees.jpeg,Nature 90,Tree 89,Sky 82,Asphalt 82,Woody plant 80,Font 80,Screenshot 80,Plant 77,Urban design 77,Road surface 72
long 17.0060879166667 lat 46.45507775 viewpoint 0 degrees.jpeg,Plant 91,Light 91,Infrastructure 90,Building 90,Road surface 90,Sky 89,Tree 89,Asphalt 89,Mode of transport 86,Thoroughfare 86
long 17.0060879166667 lat 46.45507775 viewpoint 180 degrees.jpeg,Photograph 94,Tree 89,Asphalt 88,Road surface 88,Mode of transport 87,Building 87,Plant 85,Urban design 84,Motor vehicle 84,Thoroughfare 83
long 17.0060879166667 lat 46.45507775 viewpoint 270 degrees.jpeg,Property 94,Building 94,Plant 92,Window 89,Architecture 86,House 84,Biome 83,Screenshot 82,Tree 81,Facade 79
long 17.0060879166667 lat 46.45507775 viewpoint 90 degrees.jpeg,Tree 89,Sky 83,Plant 83,Font 80,Screenshot 80,Woody plant 80,Asphalt 78,Urban design 77,Multimedia 72,Software 71
long 17.0060905833333 lat 46.4551055 viewpoint 0 degrees.jpeg,Light 91,Road surface 91,Infrastructure 90,Asphalt 89,Tree 89,Thoroughfare 87,Mode of transport 87,Line 82,Urban design 82,Road 81
long 17.0060905833333 lat 46.4551055 viewpoint 180 degrees.jpeg,Photograph 94,Light 91,Tree 90,Infrastructure 89,Window 89,Road surface 88,Asphalt 88,Mode of transport 87,Urban design 85,Thoroughfare 84
long 17.0060905833333 lat 46.4551055 viewpoint 270 degrees.jpeg,Plant 95,Building 92,Tree 90,World 90,Window 85,House 84,Biome 84,Screenshot 83,Adaptation 79,Grass 79
long 17.0060905833333 lat 46.4551055 viewpoint 90 degrees.jpeg,Sky 90,Tree 88,Plant 84,Font 78,Cloud 77,Screenshot 76,Urban design 73,Asphalt 73,Multimedia 63,Signage 62
long 17.0060958333333 lat 46.4549335 viewpoint 0 degrees.jpeg,Automotive parking light 98,Plant 94,Automotive tail & brake light 92,Tire 92,Vehicle 91,Sky 91,Automotive lighting 91,Car 90,Infrastructure 90,Wheel 89
long 17.0060958333333 lat 46.4549335 viewpoint 180 degrees.jpeg,Photograph 94,Tree 91,Asphalt 87,Road surface 87,Building 86,Sky 85,Mode of transport 84,Biome 83,Line 82,Urban design 82
long 17.0060958333333 lat 46.4549335 viewpoint 270 degrees.jpeg,Window 94,Tree 89,Building 87,Plant 84,Biome 84,House 83,Screenshot 81,Font 80,Woody plant 80,Residential area 79
long 17.0060958333333 lat 46.4549335 viewpoint 90 degrees.jpeg,Tree 89,Plant 82,Asphalt 81,Screenshot 80,Technology 75,Font 75,Building 73,Urban design 73,Event 69,Software 69
long 17.0060976666667 lat 46.4551036666667 viewpoint 0 degrees.jpeg,Light 91,Road surface 91,Infrastructure 90,Asphalt 89,Motor vehicle 88,Thoroughfare 88,Mode of transport 87,Tree 87,Sky 83,Line 82
long 17.0060976666667 lat 46.4551036666667 viewpoint 180 degrees.jpeg,Photograph 94,Tree 90,Infrastructure 90,Asphalt 88,Road surface 88,Mode of transport 87,Window 86,Lighting 86,Urban design 85,Thoroughfare 84
long 17.0060976666667 lat 46.4551036666667 viewpoint 270 degrees.jpeg,Plant 96,Building 91,World 90,Tree 89,Window 85,Biome 83,Screenshot 83,Woody plant 80,Adaptation 79,House 78
long 17.0060976666667 lat 46.4551036666667 viewpoint 90 degrees.jpeg,Tree 89,Plant 87,Sky 86,Screenshot 78,Urban design 78,Font 77,Asphalt 77,Cloud 74,Multimedia 67,Games 67
long 17.0060985 lat 46.45496125 viewpoint 0 degrees.jpeg,Automotive parking light 98,Plant 94,Automotive tail & brake light 92,Tire 92,Vehicle 91,Sky 91,Automotive lighting 91,Car 90,Infrastructure 90,Wheel 89
long 17.0060985 lat 46.45496125 viewpoint 180 degrees.jpeg,Photograph 94,Tree 91,Asphalt 87,Road surface 87,Building 86,Sky 85,Mode of transport 84,Biome 83,Line 82,Urban design 82
long 17.0060985 lat 46.45496125 viewpoint 270 degrees.jpeg,Window 94,Tree 89,Building 87,Plant 84,Biome 84,House 83,Screenshot 81,Font 80,Woody plant 80,Residential area 79
long 17.0060985 lat 46.45496125 viewpoint 90 degrees.jpeg,Tree 89,Plant 82,Asphalt 81,Screenshot 80,Technology 75,Font 75,Building 73,Urban design 73,Event 69,Software 69
long 17.0060993333333 lat 46.4548188333333 viewpoint 0 degrees.jpeg,Sky 93,Road surface 90,Building 90,Infrastructure 90,Asphalt 89,Tree 87,Thoroughfare 86,Mode of transport 85,Urban design 83,Line 82
long 17.0060993333333 lat 46.4548188333333 viewpoint 90 degrees.jpeg,Tree 88,Sky 86,Window 84,Biome 82,Font 82,Line 82,Screenshot 80,Asphalt 79,Urban design 77,Automotive mirror 77
long 17.006101 lat 46.454534 viewpoint 0 degrees.jpeg,Light 91,Tree 87,Vehicle 87,Sky 78,Motor vehicle 77,Screenshot 77,Moon 76,Automotive exterior 75,Snapshot 74,Asphalt 72
long 17.006101 lat 46.454534 viewpoint 180 degrees.jpeg,Plant 96,Nature 90,Tree 90,Urban design 84,Biome 84,Asphalt 84,Screenshot 84,Line 82,Woody plant 81,Road surface 81
long 17.006101 lat 46.454534 viewpoint 270 degrees.jpeg,Sky 97,Cloud 91,Plant 89,Infrastructure 89,Tree 89,Asphalt 89,Road surface 86,Urban design 84,Biome 83,Line 82
long 17.006101 lat 46.454534 viewpoint 90 degrees.jpeg,Sky 96,Cloud 95,Infrastructure 90,Road surface 89,Asphalt 89,Tree 87,Thoroughfare 87,Mode of transport 86,Line 83,Natural landscape 82
long 17.0061011666667 lat 46.454989 viewpoint 0 degrees.jpeg,Automotive parking light 98,Plant 94,Automotive tail & brake light 92,Tire 92,Vehicle 91,Sky 91,Automotive lighting 91,Car 90,Infrastructure 90,Wheel 89
long 17.0061011666667 lat 46.454989 viewpoint 180 degrees.jpeg,Photograph 94,Tree 91,Asphalt 87,Road surface 87,Building 86,Sky 85,Mode of transport 84,Biome 83,Line 82,Urban design 82
long 17.0061011666667 lat 46.454989 viewpoint 270 degrees.jpeg,Window 94,Tree 89,Building 87,Plant 84,Biome 84,House 83,Screenshot 81,Font 80,Woody plant 80,Residential area 79
long 17.0061011666667 lat 46.454989 viewpoint 90 degrees.jpeg,Tree 89,Plant 82,Asphalt 81,Screenshot 80,Technology 75,Font 75,Building 73,Urban design 73,Event 69,Software 69
long 17.00610375 lat 46.45478925 viewpoint 0 degrees.jpeg,Photograph 94,Sky 93,Infrastructure 89,Asphalt 89,Tree 89,Road surface 87,Mode of transport 85,Thoroughfare 83,Biome 82,Screenshot 80
long 17.00610375 lat 46.45478925 viewpoint 180 degrees.jpeg,Plant 95,Sky 90,Tree 88,Asphalt 85,Moon 84,Biome 84,Screenshot 83,Urban design 81,Cloud 80,Font 78
long 17.00610375 lat 46.45478925 viewpoint 270 degrees.jpeg,Photograph 94,Plant 92,Tree 90,Asphalt 88,Font 84,Screenshot 84,Biome 83,Urban design 83,Road surface 83,Software 83
long 17.00610375 lat 46.45478925 viewpoint 90 degrees.jpeg,Tree 89,Asphalt 88,Road surface 88,Plant 87,Urban design 85,Mode of transport 84,Screenshot 81,Sky 81,Natural landscape 79,Font 77
long 17.0061045833333 lat 46.4546468333333 viewpoint 0 degrees.jpeg,Light 91,Tree 89,Vehicle 86,Moon 83,Motor vehicle 78,Sky 76,Asphalt 75,Snapshot 74,Automotive exterior 74,Screenshot 73
long 17.0061045833333 lat 46.4546468333333 viewpoint 180 degrees.jpeg,Plant 96,Tree 90,Screenshot 84,Biome 84,Urban design 83,Asphalt 83,Woody plant 81,Grass 80,Adaptation 79,Road surface 78
long 17.0061045833333 lat 46.4546468333333 viewpoint 270 degrees.jpeg,Sky 95,Cloud 91,Plant 90,Nature 90,Infrastructure 89,Tree 89,Asphalt 88,Road surface 85,Biome 84,Urban design 84
long 17.0061045833333 lat 46.4546468333333 viewpoint 90 degrees.jpeg,Cloud 96,Sky 96,Infrastructure 90,Road surface 89,Asphalt 89,Thoroughfare 87,Tree 87,Mode of transport 86,Line 83,Natural landscape 82
long 17.0061081666667 lat 46.4547596666667 viewpoint 0 degrees.jpeg,Photograph 94,Sky 93,Infrastructure 89,Asphalt 89,Tree 89,Road surface 87,Mode of transport 85,Thoroughfare 83,Biome 82,Screenshot 80
long 17.0061081666667 lat 46.4547596666667 viewpoint 180 degrees.jpeg,Plant 95,Sky 90,Tree 88,Asphalt 85,Moon 84,Biome 84,Screenshot 83,Urban design 81,Cloud 80,Font 78
long 17.0061081666667 lat 46.4547596666667 viewpoint 270 degrees.jpeg,Photograph 94,Plant 92,Tree 90,Asphalt 88,Font 84,Screenshot 84,Biome 83,Urban design 83,Road surface 83,Software 83
long 17.0061081666667 lat 46.4547596666667 viewpoint 90 degrees.jpeg,Tree 89,Asphalt 88,Road surface 88,Plant 87,Urban design 85,Mode of transport 84,Screenshot 81,Sky 81,Natural landscape 79,Font 77
long 17.0061116666667 lat 46.454645 viewpoint 0 degrees.jpeg,Light 91,Tree 89,Vehicle 86,Sky 79,Motor vehicle 77,Asphalt 75,Snapshot 74,Light commercial vehicle 74,Screenshot 74,Automotive exterior 72
long 17.0061116666667 lat 46.454645 viewpoint 180 degrees.jpeg,Plant 97,Nature 90,Tree 90,Screenshot 84,Biome 84,Urban design 84,Asphalt 82,Woody plant 81,Grass 81,Graphics software 80
long 17.0061116666667 lat 46.454645 viewpoint 270 degrees.jpeg,Sky 96,Infrastructure 89,Tree 89,Plant 89,Asphalt 89,Cloud 86,Road surface 86,Urban design 84,Biome 84,Screenshot 83
long 17.0061116666667 lat 46.454645 viewpoint 90 degrees.jpeg,Sky 96,Cloud 96,Photograph 94,Infrastructure 90,Road surface 89,Asphalt 89,Tree 88,Thoroughfare 87,Lighting 86,Mode of transport 86
long 17.00611175 lat 46.4548725 viewpoint 0 degrees.jpeg,Sky 93,Road surface 90,Building 90,Infrastructure 90,Asphalt 89,Tree 87,Thoroughfare 86,Mode of transport 85,Urban design 83,Line 82
long 17.00611175 lat 46.4548725 viewpoint 180 degrees.jpeg,Photograph 94,Plant 93,Infrastructure 90,Road surface 89,Tree 89,Asphalt 87,Biome 84,Urban design 83,Thoroughfare 82,Line 82
long 17.00611175 lat 46.4548725 viewpoint 270 degrees.jpeg,Photograph 94,Plant 94,Nature 90,World 89,Tree 89,Biome 84,Screenshot 83,Software 82,Font 81,Adaptation 79
long 17.00611175 lat 46.4548725 viewpoint 90 degrees.jpeg,Tree 88,Sky 86,Window 84,Biome 82,Font 82,Line 82,Screenshot 80,Asphalt 79,Urban design 77,Automotive mirror 77
long 17.0061153333333 lat 46.4549853333333 viewpoint 0 degrees.jpeg,Automotive parking light 98,Plant 94,Sky 94,Tire 91,Car 91,Vehicle 91,Automotive lighting 90,Infrastructure 90,Asphalt 89,Wheel 88
long 17.0061153333333 lat 46.4549853333333 viewpoint 180 degrees.jpeg,Photograph 94,Tree 91,Infrastructure 89,Asphalt 88,Road surface 87,Building 86,Sky 86,Mode of transport 86,Biome 83,Line 83
long 17.0061153333333 lat 46.4549853333333 viewpoint 270 degrees.jpeg,Property 94,Window 93,Tree 90,Building 87,Biome 84,Plant 83,House 82,Screenshot 82,Woody plant 80,Font 80
long 17.0061153333333 lat 46.4549853333333 viewpoint 90 degrees.jpeg,Tree 87,Screenshot 81,Asphalt 79,Urban design 78,Plant 78,Font 75,Sky 74,Software 71,Multimedia 70,Event 68
long 17.0061223333333 lat 46.454756 viewpoint 0 degrees.jpeg,Infrastructure 89,Road surface 88,Tree 87,Asphalt 86,Mode of transport 85,Urban design 84,Thoroughfare 83,Natural landscape 81,Woody plant 80,Road 78
long 17.0061264 lat 46.4550770333333 viewpoint 0 degrees.jpeg,Plant 91,Light 91,Infrastructure 90,Building 90,Road surface 90,Sky 89,Tree 89,Asphalt 89,Mode of transport 86,Thoroughfare 86
long 17.0061264 lat 46.4550770333333 viewpoint 180 degrees.jpeg,Photograph 94,Tree 89,Asphalt 88,Road surface 88,Mode of transport 87,Building 87,Plant 85,Urban design 84,Motor vehicle 84,Thoroughfare 83
long 17.0061264 lat 46.4550770333333 viewpoint 270 degrees.jpeg,Property 94,Building 94,Plant 92,Window 89,Architecture 86,House 84,Biome 83,Screenshot 82,Tree 81,Facade 79
long 17.0061264 lat 46.4550770333333 viewpoint 90 degrees.jpeg,Tree 89,Sky 83,Plant 83,Font 80,Screenshot 80,Woody plant 80,Asphalt 78,Urban design 77,Multimedia 72,Software 71
long 17.0061311333333 lat 46.4546864 viewpoint 0 degrees.jpeg,Light 91,Tree 89,Vehicle 86,Moon 83,Motor vehicle 78,Sky 76,Asphalt 75,Snapshot 74,Automotive exterior 74,Screenshot 73
long 17.006133 lat 46.454867 viewpoint 0 degrees.jpeg,Sky 91,Road surface 90,Infrastructure 90,Asphalt 89,Building 89,Tree 88,Mode of transport 86,Urban design 85,Thoroughfare 84,Line 82
long 17.006133 lat 46.454867 viewpoint 180 degrees.jpeg,Photograph 94,Plant 91,Tree 90,Infrastructure 90,Road surface 88,Asphalt 87,Biome 84,Urban design 83,Line 82,Sky 82
long 17.006133 lat 46.454867 viewpoint 270 degrees.jpeg,Photograph 94,Plant 94,Nature 90,Tree 90,Biome 84,Font 83,Software 83,Screenshot 83,Woody plant 80,Adaptation 79
long 17.006133 lat 46.454867 viewpoint 90 degrees.jpeg,Tree 87,Font 83,Sky 83,Line 82,Biome 82,Screenshot 81,Asphalt 80,Window 80,Technology 77,Plant 75
long 17.0061538333333 lat 46.4550950555556 viewpoint 0 degrees.jpeg,Light 91,Road surface 91,Infrastructure 90,Asphalt 89,Tree 89,Thoroughfare 87,Mode of transport 87,Line 82,Urban design 82,Road 81
long 17.0061538333333 lat 46.4550950555556 viewpoint 180 degrees.jpeg,Photograph 94,Light 91,Tree 90,Infrastructure 89,Window 89,Road surface 88,Asphalt 88,Mode of transport 87,Urban design 85,Thoroughfare 84
long 17.0061538333333 lat 46.4550950555556 viewpoint 270 degrees.jpeg,Plant 95,Building 92,Tree 90,World 90,Window 85,House 84,Biome 84,Screenshot 83,Adaptation 79,Grass 79
long 17.0061538333333 lat 46.4550950555556 viewpoint 90 degrees.jpeg,Sky 90,Tree 88,Plant 84,Font 78,Cloud 77,Screenshot 76,Urban design 73,Asphalt 73,Multimedia 63,Signage 62
long 17.0061547222222 lat 46.4546733333333 viewpoint 0 degrees.jpeg,Light 91,Tree 89,Vehicle 86,Moon 83,Motor vehicle 78,Sky 76,Asphalt 75,Snapshot 74,Automotive exterior 74,Screenshot 73
long 17.0061547222222 lat 46.4546733333333 viewpoint 180 degrees.jpeg,Plant 96,Tree 90,Screenshot 84,Biome 84,Urban design 83,Asphalt 83,Woody plant 81,Grass 80,Adaptation 79,Road surface 78
long 17.0061547222222 lat 46.4546733333333 viewpoint 270 degrees.jpeg,Sky 95,Cloud 91,Plant 90,Nature 90,Infrastructure 89,Tree 89,Asphalt 88,Road surface 85,Biome 84,Urban design 84
long 17.0061547222222 lat 46.4546733333333 viewpoint 90 degrees.jpeg,Cloud 96,Sky 96,Infrastructure 90,Road surface 89,Asphalt 89,Thoroughfare 87,Tree 87,Mode of transport 86,Line 83,Natural landscape 82
long 17.0061612666667 lat 46.4548388 viewpoint 0 degrees.jpeg,Sky 93,Road surface 90,Building 90,Infrastructure 90,Asphalt 89,Tree 87,Thoroughfare 86,Mode of transport 85,Urban design 83,Line 82
long 17.0061612666667 lat 46.4548388 viewpoint 180 degrees.jpeg,Photograph 94,Plant 93,Infrastructure 90,Road surface 89,Tree 89,Asphalt 87,Biome 84,Urban design 83,Thoroughfare 82,Line 82
long 17.0061612666667 lat 46.4548388 viewpoint 270 degrees.jpeg,Photograph 94,Plant 94,Nature 90,World 89,Tree 89,Biome 84,Screenshot 83,Software 82,Font 81,Adaptation 79
long 17.0061612666667 lat 46.4548388 viewpoint 90 degrees.jpeg,Tree 88,Sky 86,Window 84,Biome 82,Font 82,Line 82,Screenshot 80,Asphalt 79,Urban design 77,Automotive mirror 77
long 17.0061725555556 lat 46.45501 viewpoint 0 degrees.jpeg,Plant 91,Light 91,Infrastructure 90,Building 90,Road surface 90,Sky 89,Tree 89,Asphalt 89,Mode of transport 86,Thoroughfare 86
long 17.0061725555556 lat 46.45501 viewpoint 180 degrees.jpeg,Photograph 94,Tree 89,Asphalt 88,Road surface 88,Mode of transport 87,Building 87,Plant 85,Urban design 84,Motor vehicle 84,Thoroughfare 83
long 17.0061725555556 lat 46.45501 viewpoint 270 degrees.jpeg,Property 94,Building 94,Plant 92,Window 89,Architecture 86,House 84,Biome 83,Screenshot 82,Tree 81,Facade 79
long 17.0061725555556 lat 46.45501 viewpoint 90 degrees.jpeg,Tree 89,Sky 83,Plant 83,Font 80,Screenshot 80,Woody plant 80,Asphalt 78,Urban design 77,Multimedia 72,Software 71
long 17.0061728 lat 46.4549320666667 viewpoint 0 degrees.jpeg,Automotive parking light 98,Plant 94,Automotive tail & brake light 92,Tire 92,Vehicle 91,Sky 91,Automotive lighting 91,Car 90,Infrastructure 90,Wheel 89
long 17.0061728 lat 46.4549320666667 viewpoint 180 degrees.jpeg,Photograph 94,Tree 91,Asphalt 87,Road surface 87,Building 86,Sky 85,Mode of transport 84,Biome 83,Line 82,Urban design 82
long 17.0061728 lat 46.4549320666667 viewpoint 270 degrees.jpeg,Window 94,Tree 89,Building 87,Plant 84,Biome 84,House 83,Screenshot 81,Font 80,Woody plant 80,Residential area 79
long 17.0061728 lat 46.4549320666667 viewpoint 90 degrees.jpeg,Tree 89,Plant 82,Asphalt 81,Screenshot 80,Technology 75,Font 75,Building 73,Urban design 73,Event 69,Software 69
long 17.006189 lat 46.4550889166667 viewpoint 0 degrees.jpeg,Plant 91,Light 91,Infrastructure 90,Building 90,Road surface 90,Sky 89,Tree 89,Asphalt 89,Mode of transport 86,Thoroughfare 86
long 17.006189 lat 46.4550889166667 viewpoint 90 degrees.jpeg,Tree 89,Sky 83,Plant 83,Font 80,Screenshot 80,Woody plant 80,Asphalt 78,Urban design 77,Multimedia 72,Software 71
long 17.0061914 lat 46.4549912 viewpoint 0 degrees.jpeg,Automotive parking light 98,Plant 94,Automotive tail & brake light 92,Tire 92,Vehicle 91,Sky 91,Automotive lighting 91,Car 90,Infrastructure 90,Wheel 89
long 17.0061914 lat 46.4549912 viewpoint 180 degrees.jpeg,Photograph 94,Tree 91,Asphalt 87,Road surface 87,Building 86,Sky 85,Mode of transport 84,Biome 83,Line 82,Urban design 82
long 17.0061914 lat 46.4549912 viewpoint 270 degrees.jpeg,Window 94,Tree 89,Building 87,Plant 84,Biome 84,House 83,Screenshot 81,Font 80,Woody plant 80,Residential area 79
long 17.0061914 lat 46.4549912 viewpoint 90 degrees.jpeg,Tree 89,Plant 82,Asphalt 81,Screenshot 80,Technology 75,Font 75,Building 73,Urban design 73,Event 69,Software 69
long 17.0061922222222 lat 46.4547781666667 viewpoint 0 degrees.jpeg,Light 91,Tree 89,Vehicle 86,Moon 83,Motor vehicle 78,Sky 76,Asphalt 75,Snapshot 74,Automotive exterior 74,Screenshot 73
long 17.0061922222222 lat 46.4547781666667 viewpoint 90 degrees.jpeg,Cloud 96,Sky 96,Infrastructure 90,Road surface 89,Asphalt 89,Thoroughfare 87,Tree 87,Mode of transport 86,Line 83,Natural landscape 82
long 17.0061926666667 lat 46.4547437222222 viewpoint 0 degrees.jpeg,Light 91,Tree 89,Vehicle 86,Moon 83,Motor vehicle 78,Sky 76,Asphalt 75,Snapshot 74,Automotive exterior 74,Screenshot 73
long 17.0061926666667 lat 46.4547437222222 viewpoint 180 degrees.jpeg,Plant 96,Tree 90,Screenshot 84,Biome 84,Urban design 83,Asphalt 83,Woody plant 81,Grass 80,Adaptation 79,Road surface 78
long 17.0061926666667 lat 46.4547437222222 viewpoint 270 degrees.jpeg,Sky 95,Cloud 91,Plant 90,Nature 90,Infrastructure 89,Tree 89,Asphalt 88,Road surface 85,Biome 84,Urban design 84
