long 16.98136 lat 46.45775 viewpoint 0 degrees.jpeg,Cloud 96,Plant 93,Ecoregion 93,Sky 92,Nature 90,Natural environment 89,Natural landscape 88,Vegetation 85,Land lot 85,Tree 85
long 16.98136 lat 46.45775 viewpoint 180 degrees.jpeg,Building 93,Window 88,Land lot 84,Grass 83,Biome 82,Tree 80,Screenshot 80,Facade 77,Plant 74,House 73
long 16.98136 lat 46.45775 viewpoint 270 degrees.jpeg,Cloud 96,Sky 95,Photograph 94,Plant 94,Light 91,Infrastructure 91,Nature 90,Asphalt 89,Vehicle 88,Road surface 88
long 16.98136 lat 46.45775 viewpoint 90 degrees.jpeg,Cloud 97,Sky 95,Property 94,Building 92,Plant 90,Car 90,Infrastructure 90,Window 89,Asphalt 88,Road surface 87
long 16.9814675 lat 46.4578165 viewpoint 0 degrees.jpeg,Plant 94,Tree 88,Cloud 87,Sky 86,Natural landscape 86,Vegetation 85,Biome 85,Grass 84,Woody plant 83,Screenshot 82
long 16.9814675 lat 46.4578165 viewpoint 180 degrees.jpeg,Window 91,Line 82,Font 81,Facade 77,Building 75,Technology 75,Motor vehicle 73,Space 72,Urban design 72,Advertising 70
long 16.9814675 lat 46.4578165 viewpoint 270 degrees.jpeg,Sky 95,Cloud 94,Photograph 94,Plant 91,Nature 90,Infrastructure 89,Asphalt 89,Road surface 88,Tree 85,Font 85
long 16.9814675 lat 46.4578165 viewpoint 90 degrees.jpeg,Cloud 97,Sky 95,Car 95,Property 94,Vehicle 92,Motor vehicle 92,Asphalt 87,Building 86,Plant 86,Automotive design 86
long 16.9815118 lat 46.4577312666667 viewpoint 0 degrees.jpeg,Plant 94,Tree 88,Cloud 87,Sky 86,Natural landscape 86,Vegetation 85,Biome 85,Grass 84,Woody plant 83,Screenshot 82
long 16.9815118 lat 46.4577312666667 viewpoint 180 degrees.jpeg,Window 91,Line 82,Font 81,Facade 77,Building 75,Technology 75,Motor vehicle 73,Space 72,Urban design 72,Advertising 70
long 16.9815118 lat 46.4577312666667 viewpoint 270 degrees.jpeg,Sky 95,Cloud 94,Photograph 94,Plant 91,Nature 90,Infrastructure 89,Asphalt 89,Road surface 88,Tree 85,Font 85
long 16.9815118 lat 46.4577312666667 viewpoint 90 degrees.jpeg,Cloud 97,Sky 95,Car 95,Property 94,Vehicle 92,Motor vehicle 92,Asphalt 87,Building 86,Plant 86,Automotive design 86
long 16.9815276 lat 46.4577692 viewpoint 0 degrees.jpeg,Cloud 98,Sky 96,Wheel 95,Vehicle 95,Car 95,Plant 92,Tire 91,Automotive tail & brake light 91,Automotive tire 87,Automotive design 84
long 16.9815276 lat 46.4577692 viewpoint 180 degrees.jpeg,Product 91,Screenshot 83,Software 78,Gas 78,Technology 78,Font 75,Video game software 71,Building 69,Electric blue 68,Machine 66
long 16.9815276 lat 46.4577692 viewpoint 270 degrees.jpeg,Cloud 95,Sky 92,Asphalt 88,Road surface 86,Mode of transport 85,Tree 85,Font 84,Screenshot 84,Plant 82,Thoroughfare 82
long 16.9815276 lat 46.4577692 viewpoint 90 degrees.jpeg,Cloud 97,Sky 94,Plant 90,Asphalt 87,Road surface 86,Tree 85,Font 83,Screenshot 82,Line 82,Road 76
long 16.98153395 lat 46.45768865 viewpoint 0 degrees.jpeg,Cloud 98,Sky 96,Wheel 95,Vehicle 95,Car 95,Plant 92,Tire 91,Automotive tail & brake light 91,Automotive tire 87,Automotive design 84
long 16.98153395 lat 46.45768865 viewpoint 180 degrees.jpeg,Product 91,Screenshot 83,Software 78,Gas 78,Technology 78,Font 75,Video game software 71,Building 69,Electric blue 68,Games 67
