long 16.988232 lat 46.455173 viewpoint 0 degrees.jpeg,Plant 95,Cloud 92,Nature 90,Infrastructure 89,Tree 88,Urban design 85,Biome 84,Grass 83,Sky 83,Line 82
long 16.988232 lat 46.455173 viewpoint 180 degrees.jpeg,Building 89,Urban design 83,Biome 83,Screenshot 83,Cloud 81,Facade 78,Font 76,Sky 76,Asphalt 76,Window 75
long 16.988232 lat 46.455173 viewpoint 270 degrees.jpeg,Sky 97,Cloud 96,Building 96,Photograph 94,Infrastructure 89,Window 87,Asphalt 87,Urban design 86,Road surface 85,Line 83
long 16.988232 lat 46.455173 viewpoint 90 degrees.jpeg,Cloud 95,Photograph 94,Sky 94,Plant 93,Infrastructure 91,Road surface 89,Asphalt 89,Street light 88,Window 88,Thoroughfare 86
long 16.9884759107143 lat 46.4551743214286 viewpoint 0 degrees.jpeg,Cloud 97,Plant 96,Sky 96,Ecoregion 92,Nature 90,Tree 89,Natural environment 89,World 89,Urban design 85,Land lot 85
long 16.9884759107143 lat 46.4551743214286 viewpoint 180 degrees.jpeg,Automotive parking light 98,Car 97,Land vehicle 96,Vehicle 96,Tire 96,Automotive tail & brake light 95,Window 94,Wheel 94,Building 92,Motor vehicle 91
long 16.9884759107143 lat 46.4551743214286 viewpoint 270 degrees.jpeg,Cloud 98,Sky 95,Photograph 94,Street light 91,Plant 91,Infrastructure 90,Asphalt 88,Urban design 86,Road surface 85,Mode of transport 84
long 16.9884759107143 lat 46.4551743214286 viewpoint 90 degrees.jpeg,Cloud 97,Sky 95,Plant 92,Street light 92,Light 91,Infrastructure 90,Road surface 90,Asphalt 87,Lighting 87,Thoroughfare 86
long 16.988476068323 lat 46.4551730062112 viewpoint 0 degrees.jpeg,Cloud 97,Plant 96,Sky 96,Ecoregion 92,Nature 90,Tree 89,Natural environment 89,World 89,Urban design 85,Land lot 85
long 16.988476068323 lat 46.4551730062112 viewpoint 180 degrees.jpeg,Automotive parking light 98,Car 97,Land vehicle 96,Vehicle 96,Tire 96,Automotive tail & brake light 95,Window 94,Wheel 94,Building 92,Motor vehicle 91
long 16.988476068323 lat 46.4551730062112 viewpoint 270 degrees.jpeg,Cloud 98,Sky 95,Photograph 94,Street light 91,Plant 91,Infrastructure 90,Asphalt 88,Urban design 86,Road surface 85,Mode of transport 84
long 16.988476068323 lat 46.4551730062112 viewpoint 90 degrees.jpeg,Cloud 97,Sky 95,Plant 92,Street light 92,Light 91,Infrastructure 90,Road surface 90,Asphalt 87,Lighting 87,Thoroughfare 86
long 16.9884762402597 lat 46.4551715714286 viewpoint 0 degrees.jpeg,Cloud 97,Plant 96,Sky 96,Ecoregion 92,Nature 90,Tree 89,Natural environment 89,World 89,Urban design 85,Land lot 85
long 16.9884762402597 lat 46.4551715714286 viewpoint 180 degrees.jpeg,Automotive parking light 98,Car 97,Land vehicle 96,Vehicle 96,Tire 96,Automotive tail & brake light 95,Window 94,Wheel 94,Building 92,Motor vehicle 91
long 16.9884762402597 lat 46.4551715714286 viewpoint 270 degrees.jpeg,Cloud 98,Sky 95,Photograph 94,Street light 91,Plant 91,Infrastructure 90,Asphalt 88,Urban design 86,Road surface 85,Mode of transport 84
long 16.9884762402597 lat 46.4551715714286 viewpoint 90 degrees.jpeg,Cloud 97,Sky 95,Plant 92,Street light 92,Light 91,Infrastructure 90,Road surface 90,Asphalt 87,Lighting 87,Thoroughfare 86
long 16.9884764285714 lat 46.45517 viewpoint 0 degrees.jpeg,Cloud 97,Plant 96,Sky 96,Ecoregion 92,Nature 90,Tree 89,Natural environment 89,World 89,Urban design 85,Land lot 85
long 16.9884764285714 lat 46.45517 viewpoint 180 degrees.jpeg,Automotive parking light 98,Car 97,Land vehicle 96,Vehicle 96,Tire 96,Automotive tail & brake light 95,Window 94,Wheel 94,Building 92,Motor vehicle 91
long 16.9884764285714 lat 46.45517 viewpoint 270 degrees.jpeg,Cloud 98,Sky 95,Photograph 94,Street light 91,Plant 91,Infrastructure 90,Asphalt 88,Urban design 86,Road surface 85,Mode of transport 84
long 16.9884764285714 lat 46.45517 viewpoint 90 degrees.jpeg,Cloud 97,Sky 95,Plant 92,Street light 92,Light 91,Infrastructure 90,Road surface 90,Asphalt 87,Lighting 87,Thoroughfare 86
long 16.9884766357143 lat 46.4551682714286 viewpoint 0 degrees.jpeg,Cloud 97,Plant 96,Sky 96,Ecoregion 92,Nature 90,Tree 89,Natural environment 89,World 89,Urban design 85,Land lot 85
long 16.9884766357143 lat 46.4551682714286 viewpoint 180 degrees.jpeg,Automotive parking light 98,Car 97,Land vehicle 96,Vehicle 96,Tire 96,Automotive tail & brake light 95,Window 94,Wheel 94,Building 92,Motor vehicle 91
long 16.9884766357143 lat 46.4551682714286 viewpoint 270 degrees.jpeg,Cloud 98,Sky 95,Photograph 94,Street light 91,Plant 91,Infrastructure 90,Asphalt 88,Urban design 86,Road surface 85,Mode of transport 84
long 16.9884766357143 lat 46.4551682714286 viewpoint 90 degrees.jpeg,Cloud 97,Sky 95,Plant 92,Street light 92,Light 91,Infrastructure 90,Road surface 90,Asphalt 87,Lighting 87,Thoroughfare 86
long 16.9884768646617 lat 46.4551663609023 viewpoint 0 degrees.jpeg,Cloud 97,Plant 96,Sky 96,Ecoregion 92,Nature 90,Tree 89,Natural environment 89,World 89,Urban design 85,Land lot 85
long 16.9884768646617 lat 46.4551663609023 viewpoint 180 degrees.jpeg,Automotive parking light 98,Car 97,Land vehicle 96,Vehicle 96,Tire 96,Automotive tail & brake light 95,Window 94,Wheel 94,Building 92,Motor vehicle 91
long 16.9884768646617 lat 46.4551663609023 viewpoint 270 degrees.jpeg,Cloud 98,Sky 95,Photograph 94,Street light 91,Plant 91,Infrastructure 90,Asphalt 88,Urban design 86,Road surface 85,Mode of transport 84
