long 16.994047 lat 46.465493 viewpoint 0 degrees.jpeg,Cloud 96,Sky 96,Plant 95,Building 93,Tree 90,Asphalt 88,Tire 88,Road surface 87,Wheel 87,Lighting 87
long 16.994047 lat 46.465493 viewpoint 180 degrees.jpeg,Cloud 96,Sky 94,Infrastructure 89,Asphalt 88,Road surface 86,Plant 85,Window 83,Screenshot 83,Tree 83,Biome 83
long 16.994047 lat 46.465493 viewpoint 270 degrees.jpeg,Plant 95,Sky 95,Ecoregion 93,Cloud 91,Nature 90,Natural environment 89,Building 86,Land lot 85,Tree 84,Biome 84
long 16.994047 lat 46.465493 viewpoint 90 degrees.jpeg,Cloud 97,Sky 97,Car 95,Property 94,Vehicle 90,Building 89,Tire 89,Infrastructure 89,Asphalt 88,Wheel 88
long 16.9940518181818 lat 46.4653217272727 viewpoint 0 degrees.jpeg,Cloud 97,Sky 95,Property 94,Infrastructure 89,Asphalt 89,Road surface 87,Lighting 86,Land lot 84,Urban design 83,Screenshot 83
long 16.9940518181818 lat 46.4653217272727 viewpoint 180 degrees.jpeg,Sky 95,Cloud 94,Plant 92,Infrastructure 89,Road surface 89,Asphalt 89,Biome 84,Screenshot 83,Line 82,Tree 82
long 16.9940518181818 lat 46.4653217272727 viewpoint 270 degrees.jpeg,Sky 96,Building 95,Plant 92,Cloud 91,Asphalt 87,Tree 87,Road surface 86,Car 86,Land lot 86,Window 86
long 16.9940518181818 lat 46.4653217272727 viewpoint 90 degrees.jpeg,Property 94,Window 93,Land lot 85,Font 83,Biome 83,Screenshot 83,Grass 82,Facade 79,Real estate 78,Building 78
long 16.9940566363636 lat 46.4651504545455 viewpoint 0 degrees.jpeg,Cloud 95,Sky 91,Infrastructure 90,Asphalt 88,Road surface 87,Lighting 86,Mode of transport 85,Urban design 84,Thoroughfare 82,Tree 82
long 16.9940566363636 lat 46.4651504545455 viewpoint 180 degrees.jpeg,Sky 94,Cloud 93,Infrastructure 89,Asphalt 89,Window 88,Road surface 88,Biome 83,Screenshot 82,Urban design 80,Thoroughfare 79
long 16.9940566363636 lat 46.4651504545455 viewpoint 270 degrees.jpeg,Plant 96,Building 95,Sky 91,Window 90,Nature 90,Cloud 90,Tree 88,House 87,Land lot 85,Biome 84
long 16.9940566363636 lat 46.4651504545455 viewpoint 90 degrees.jpeg,Ecoregion 92,Natural environment 89,Land lot 86,Font 84,Grass 83,Line 83,Biome 82,Software 82,Screenshot 81,Building 80
long 16.9940614545455 lat 46.4649791818182 viewpoint 0 degrees.jpeg,Cloud 97,Sky 95,Photograph 94,Plant 92,Light 91,Building 91,Asphalt 88,Lighting 87,Tree 86,Road surface 86
long 16.9940614545455 lat 46.4649791818182 viewpoint 180 degrees.jpeg,Cloud 96,Sky 94,Road surface 87,Building 87,Asphalt 86,Biome 83,Screenshot 82,Line 82,Urban design 82,Graphics software 82
long 16.9940614545455 lat 46.4649791818182 viewpoint 270 degrees.jpeg,Building 95,Plant 94,Window 93,Sky 92,Architecture 86,Tree 86,House 84,Urban design 83,Biome 83,Line 83
long 16.9940614545455 lat 46.4649791818182 viewpoint 90 degrees.jpeg,Tree 88,Plant 87,Wood 85,Vegetation 85,Land lot 85,Biome 82,Terrestrial plant 79,Screenshot 79,Urban design 79,Grass 79
long 16.9940662727273 lat 46.4648079090909 viewpoint 0 degrees.jpeg,Cloud 93,Sky 90,Road surface 89,Infrastructure 89,Asphalt 89,Tree 86,Window 86,Building 85,Mode of transport 85,Urban design 83
long 16.9940662727273 lat 46.4648079090909 viewpoint 180 degrees.jpeg,Sky 97,Cloud 95,Window 91,Building 91,Road surface 88,Asphalt 88,Plant 86,Mode of transport 84,Graphics software 83,Thoroughfare 82
long 16.9940662727273 lat 46.4648079090909 viewpoint 270 degrees.jpeg,Plant 96,Property 94,Sky 92,Building 90,Window 90,Lighting 87,Land lot 86,Architecture 86,Biome 83,Cloud 83
long 16.9940662727273 lat 46.4648079090909 viewpoint 90 degrees.jpeg,Window 95,Building 93,Fixture 85,Door 82,Material property 80,Facade 79,Real estate 79,Font 76,Wood 73,Sash window 68
long 16.9940710909091 lat 46.4646366363636 viewpoint 0 degrees.jpeg,Sky 94,Window 91,Cloud 90,Infrastructure 89,Road surface 89,Asphalt 88,Lighting 86,Building 86,Architecture 85,Urban design 85
long 16.9940710909091 lat 46.4646366363636 viewpoint 90 degrees.jpeg,Window 95,Property 94,Building 91,Fixture 88,Architecture 86,Door 85,Font 83,Neighbourhood 83,Line 82,Wall 81
