long 16.99071 lat 46.463581 viewpoint 0 degrees.jpeg,Building 95,Window 91,Biome 82,House 81,Screenshot 81,Facade 79,Residential area 79,Real estate 79,Roof 77,Wood 76
long 16.99071 lat 46.463581 viewpoint 180 degrees.jpeg,Plant 95,Property 94,Building 91,Tree 88,Land lot 86,Biome 84,Screenshot 83,House 81,Residential area 80,Real estate 79
long 16.99071 lat 46.463581 viewpoint 270 degrees.jpeg,Sky 94,Photograph 94,Plant 92,Cloud 91,Road surface 91,Nature 90,Infrastructure 90,Tree 90,Asphalt 89,Thoroughfare 87
long 16.99071 lat 46.463581 viewpoint 90 degrees.jpeg,Cloud 97,Property 94,Sky 94,Light 91,Infrastructure 91,Plant 90,Asphalt 89,Tree 89,Road surface 89,Building 87
long 16.9908133351648 lat 46.4637260054945 viewpoint 0 degrees.jpeg,Property 94,Window 94,Building 93,Land lot 85,Screenshot 81,Facade 79,House 77,Font 77,Asphalt 68,Software 65
long 16.9908133351648 lat 46.4637260054945 viewpoint 180 degrees.jpeg,Plant 94,Property 94,Sky 93,Cloud 91,Nature 90,Tree 89,Land lot 85,Biome 84,Screenshot 83,Line 82
long 16.9908133351648 lat 46.4637260054945 viewpoint 270 degrees.jpeg,Cloud 97,Sky 94,Property 94,Photograph 94,Light 91,Infrastructure 89,Road surface 89,Asphalt 88,Building 87,Lighting 87
long 16.9908133351648 lat 46.4637260054945 viewpoint 90 degrees.jpeg,Cloud 93,Sky 92,Road surface 90,Infrastructure 90,Asphalt 89,Lighting 87,Tree 86,Land lot 84,Urban design 83,Screenshot 83
long 16.9908193928571 lat 46.4637240119048 viewpoint 0 degrees.jpeg,Property 94,Window 94,Building 93,Land lot 85,Screenshot 81,Facade 79,House 77,Font 77,Asphalt 68,Software 65
long 16.9908193928571 lat 46.4637240119048 viewpoint 180 degrees.jpeg,Plant 94,Property 94,Sky 93,Cloud 91,Nature 90,Tree 89,Land lot 85,Biome 84,Screenshot 83,Line 82
long 16.9908193928571 lat 46.4637240119048 viewpoint 270 degrees.jpeg,Cloud 97,Sky 94,Property 94,Photograph 94,Light 91,Infrastructure 89,Road surface 89,Asphalt 88,Building 87,Lighting 87
long 16.9908193928571 lat 46.4637240119048 viewpoint 90 degrees.jpeg,Cloud 93,Sky 92,Road surface 90,Infrastructure 90,Asphalt 89,Lighting 87,Tree 86,Land lot 84,Urban design 83,Screenshot 83
long 16.9908251806723 lat 46.4637288319328 viewpoint 0 degrees.jpeg,Property 94,Window 94,Building 93,Land lot 85,Screenshot 81,Facade 79,House 77,Font 77,Asphalt 68,Software 65
long 16.9908251806723 lat 46.4637288319328 viewpoint 180 degrees.jpeg,Plant 94,Sky 93,Cloud 91,Nature 90,Tree 89,Land lot 85,Biome 84,Screenshot 83,Line 82,Font 80
long 16.9908251806723 lat 46.4637288319328 viewpoint 270 degrees.jpeg,Cloud 97,Sky 94,Property 94,Photograph 94,Light 91,Infrastructure 89,Road surface 89,Asphalt 88,Building 87,Lighting 87
long 16.9908251806723 lat 46.4637288319328 viewpoint 90 degrees.jpeg,Cloud 93,Sky 92,Road surface 90,Infrastructure 90,Asphalt 89,Lighting 87,Tree 86,Land lot 84,Urban design 83,Screenshot 83
long 16.9908265519481 lat 46.4637216558442 viewpoint 0 degrees.jpeg,Property 94,Window 94,Building 93,Land lot 85,Screenshot 81,Facade 79,House 77,Font 77,Asphalt 68,Software 65
long 16.9908265519481 lat 46.4637216558442 viewpoint 180 degrees.jpeg,Plant 94,Property 94,Sky 93,Cloud 91,Nature 90,Tree 89,Land lot 85,Biome 84,Screenshot 83,Line 82
long 16.9908265519481 lat 46.4637216558442 viewpoint 270 degrees.jpeg,Cloud 97,Sky 94,Property 94,Photograph 94,Light 91,Infrastructure 89,Road surface 89,Asphalt 88,Building 87,Lighting 87
long 16.9908265519481 lat 46.4637216558442 viewpoint 90 degrees.jpeg,Cloud 93,Sky 92,Road surface 90,Infrastructure 90,Asphalt 89,Lighting 87,Tree 86,Land lot 84,Urban design 83,Screenshot 83
long 16.9908334039216 lat 46.4637200196078 viewpoint 0 degrees.jpeg,Property 94,Window 94,Building 93,Land lot 85,Screenshot 81,Facade 79,House 77,Font 77,Asphalt 68,Software 65
long 16.9908334039216 lat 46.4637200196078 viewpoint 180 degrees.jpeg,Plant 94,Property 94,Sky 93,Cloud 91,Nature 90,Tree 89,Land lot 85,Biome 84,Screenshot 83,Line 82
long 16.9908334039216 lat 46.4637200196078 viewpoint 270 degrees.jpeg,Cloud 97,Sky 94,Property 94,Photograph 94,Light 91,Infrastructure 89,Road surface 89,Asphalt 88,Building 87,Lighting 87
long 16.9908334039216 lat 46.4637200196078 viewpoint 90 degrees.jpeg,Cloud 93,Sky 91,Infrastructure 90,Road surface 90,Asphalt 89,Lighting 86,Tree 86,Land lot 84,Screenshot 83,Urban design 83
long 16.9908351428571 lat 46.4637188285714 viewpoint 0 degrees.jpeg,Property 94,Window 94,Building 93,Land lot 85,Screenshot 81,Facade 79,House 77,Font 77,Asphalt 68,Software 65
long 16.9908351428571 lat 46.4637188285714 viewpoint 180 degrees.jpeg,Plant 94,Property 94,Sky 93,Cloud 91,Nature 90,Tree 89,Land lot 85,Biome 84,Screenshot 83,Line 82
long 16.9908351428571 lat 46.4637188285714 viewpoint 270 degrees.jpeg,Cloud 97,Sky 94,Property 94,Photograph 94,Light 91,Infrastructure 89,Road surface 89,Asphalt 88,Building 87,Lighting 87
long 16.9908351428571 lat 46.4637188285714 viewpoint 90 degrees.jpeg,Cloud 93,Sky 92,Road surface 90,Infrastructure 90,Asphalt 89,Lighting 87,Tree 86,Land lot 84,Urban design 83,Screenshot 83
long 16.9908456428571 lat 46.4637153730159 viewpoint 0 degrees.jpeg,Property 94,Window 94,Building 93,Land lot 84,Screenshot 82,Facade 79,House 78,Font 77,Asphalt 68,Software 66
long 16.9908456428571 lat 46.4637153730159 viewpoint 180 degrees.jpeg,Plant 94,Property 94,Sky 93,Cloud 91,Nature 90,Tree 89,Land lot 85,Biome 84,Screenshot 83,Line 82
long 16.9908456428571 lat 46.4637153730159 viewpoint 270 degrees.jpeg,Cloud 97,Sky 94,Property 94,Photograph 94,Light 91,Infrastructure 89,Road surface 89,Asphalt 88,Building 87,Lighting 87
long 16.9908456428571 lat 46.4637153730159 viewpoint 90 degrees.jpeg,Cloud 93,Sky 92,Road surface 90,Infrastructure 90,Asphalt 89,Lighting 87,Tree 86,Land lot 84,Urban design 83,Screenshot 83
long 16.9908493058824 lat 46.4637210627451 viewpoint 0 degrees.jpeg,Property 94,Window 94,Building 93,Land lot 85,Screenshot 81,Facade 79,House 77,Font 77,Asphalt 68,Software 65
