long 16.987167 lat 46.455178 viewpoint 0 degrees.jpeg,Car 97,Cloud 97,Sky 96,Land vehicle 96,Vehicle 96,Vehicle registration plate 94,Tire 94,Building 93,Motor vehicle 92,Automotive lighting 92
long 16.987167 lat 46.455178 viewpoint 180 degrees.jpeg,Building 94,Window 94,Infrastructure 89,Asphalt 87,Urban design 83,Road surface 83,Font 82,Screenshot 81,Road 77,City 76
long 16.987167 lat 46.455178 viewpoint 270 degrees.jpeg,Window 94,Building 91,Fixture 86,Font 83,Rectangle 83,Line 82,Wall 81,Facade 79,Real estate 78,Urban design 73
long 16.987167 lat 46.455178 viewpoint 90 degrees.jpeg,Automotive parking light 98,Tire 98,Wheel 98,Car 97,Land vehicle 97,Vehicle 95,Infrastructure 89,Window 89,Automotive design 87,Building 87
long 16.987194 lat 46.4550685 viewpoint 0 degrees.jpeg,Tire 96,Wheel 94,Building 94,Window 93,Car 93,Hood 91,Vehicle 91,Motor vehicle 89,Asphalt 84,Urban design 82
long 16.987194 lat 46.4550685 viewpoint 180 degrees.jpeg,Window 94,Building 91,Font 80,Facade 78,City 74,Road 73,Advertising 72,Signage 70,Screenshot 69,Street 69
long 16.987194 lat 46.4550685 viewpoint 270 degrees.jpeg,Cloud 98,Car 98,Land vehicle 96,Sky 96,Vehicle 95,Building 94,Window 92,Infrastructure 89,Automotive lighting 89,Asphalt 88
long 16.987194 lat 46.4550685 viewpoint 90 degrees.jpeg,Cloud 97,Car 97,Vehicle 95,Sky 93,Motor vehicle 90,Infrastructure 90,Asphalt 89,Building 88,Mode of transport 87,Automotive lighting 87
long 16.987221 lat 46.454959 viewpoint 0 degrees.jpeg,Tire 96,Wheel 94,Building 94,Window 93,Car 93,Hood 91,Vehicle 91,Motor vehicle 89,Asphalt 84,Urban design 82
long 16.987221 lat 46.454959 viewpoint 180 degrees.jpeg,Window 94,Building 91,Font 80,Facade 78,City 74,Road 73,Advertising 72,Signage 70,Screenshot 69,Street 69
long 16.987221 lat 46.454959 viewpoint 270 degrees.jpeg,Cloud 98,Car 98,Land vehicle 96,Sky 96,Vehicle 95,Building 94,Window 92,Infrastructure 89,Automotive lighting 89,Asphalt 88
long 16.987221 lat 46.454959 viewpoint 90 degrees.jpeg,Cloud 97,Car 97,Vehicle 95,Sky 93,Motor vehicle 90,Infrastructure 90,Asphalt 89,Building 88,Mode of transport 87,Automotive lighting 87
long 16.987262 lat 46.4550533333333 viewpoint 0 degrees.jpeg,Building 96,Property 94,Window 94,Mode of transport 85,Urban design 84,Tree 81,Font 81,Facade 79,City 76,Parking 75
long 16.987262 lat 46.4550533333333 viewpoint 180 degrees.jpeg,Window 89,Building 88,Lighting 87,Asphalt 82,Screenshot 77,Font 76,Road 75,Facade 75,Display device 75,City 71
long 16.987262 lat 46.4550533333333 viewpoint 270 degrees.jpeg,Car 97,Cloud 97,Sky 96,Building 95,Vehicle 94,Window 91,Infrastructure 90,Tire 89,Asphalt 88,Wheel 87
long 16.987262 lat 46.4550533333333 viewpoint 90 degrees.jpeg,Cloud 97,Wheel 96,Tire 96,Car 94,Photograph 94,Vehicle 94,Sky 93,Vehicle registration plate 93,Automotive carrying rack 92,Automotive lighting 90
