long 16.986937 lat 46.452653 viewpoint 0 degrees.jpeg,Building 96,Plant 92,Light 91,Moon 91,Lighting 86,Tree 86,House 86,Screenshot 84,Biome 84,Sky 83
long 16.986937 lat 46.452653 viewpoint 180 degrees.jpeg,Plant 88,Tree 83,Screenshot 80,Grass 79,Font 78,Asphalt 74,Competition event 73,Recreation 73,Multimedia 72,Games 71
long 16.986937 lat 46.452653 viewpoint 270 degrees.jpeg,Sky 94,Property 94,Photograph 94,Plant 93,Light 91,Nature 90,Building 87,Moon 87,Asphalt 86,Urban design 84
long 16.986937 lat 46.452653 viewpoint 90 degrees.jpeg,Photograph 94,Plant 91,Sky 89,Building 89,Asphalt 87,Road surface 87,Tree 85,Screenshot 82,Thoroughfare 82,Urban design 78
long 16.9869985 lat 46.45274 viewpoint 0 degrees.jpeg,Plant 94,World 91,Tree 90,Nature 90,Natural landscape 86,Font 84,Screenshot 84,Biome 83,Sky 83,Woody plant 81
long 16.9869985 lat 46.45274 viewpoint 180 degrees.jpeg,Plant 93,Window 90,Building 90,Tree 87,House 85,Grass 83,Screenshot 81,Asphalt 77,Landscape 74,Technology 73
long 16.9869985 lat 46.45274 viewpoint 270 degrees.jpeg,Sky 96,Photograph 94,Plant 93,Building 93,Moon 91,Window 91,Tree 91,Nature 90,Infrastructure 89,Asphalt 88
long 16.9869985 lat 46.45274 viewpoint 90 degrees.jpeg,Photograph 94,Sky 89,Road surface 86,Asphalt 85,Building 85,Screenshot 84,Biome 83,Urban design 82,Tree 81,Adaptation 79
long 16.9870083333333 lat 46.452647 viewpoint 0 degrees.jpeg,Plant 94,World 91,Tree 90,Nature 90,Natural landscape 86,Font 84,Screenshot 84,Biome 83,Sky 83,Woody plant 81
long 16.9870083333333 lat 46.452647 viewpoint 180 degrees.jpeg,Plant 93,Window 90,Building 90,Tree 87,House 85,Grass 83,Screenshot 81,Asphalt 77,Landscape 74,Technology 73
long 16.9870083333333 lat 46.452647 viewpoint 270 degrees.jpeg,Sky 96,Photograph 94,Plant 93,Building 93,Moon 91,Window 91,Tree 91,Nature 90,Infrastructure 89,Asphalt 88
long 16.9870083333333 lat 46.452647 viewpoint 90 degrees.jpeg,Photograph 94,Sky 89,Road surface 86,Asphalt 85,Building 85,Screenshot 84,Biome 83,Urban design 82,Tree 81,Adaptation 79
