long 16.988739 lat 46.457498 viewpoint 0 degrees.jpeg,Car 94,Sky 93,Cloud 90,Vehicle 90,Asphalt 88,Automotive mirror 86,Road surface 85,Mode of transport 85,Urban design 85,Line 82
long 16.988739 lat 46.457498 viewpoint 180 degrees.jpeg,Plant 97,Green 91,Tree 90,Land lot 84,Asphalt 84,Road surface 83,Woody plant 82,Urban design 81,Screenshot 80,Grass 79
long 16.988739 lat 46.457498 viewpoint 270 degrees.jpeg,Plant 96,Window 94,Building 94,Tree 91,Street light 88,Urban design 84,Biome 83,Woody plant 82,Screenshot 82,Font 79
long 16.988739 lat 46.457498 viewpoint 90 degrees.jpeg,Car 97,Tire 97,Wheel 97,Vehicle 95,Motor vehicle 92,Building 91,Automotive lighting 89,Cloud 89,Infrastructure 89,Window 88
long 16.9887795 lat 46.457437 viewpoint 0 degrees.jpeg,Cloud 97,Sky 94,Car 93,Building 92,Plant 92,Window 89,Asphalt 87,Road surface 87,Tree 87,Urban design 85
long 16.9887795 lat 46.457437 viewpoint 180 degrees.jpeg,Plant 97,Tree 90,Nature 90,Asphalt 86,Land lot 85,Road surface 84,Grass 84,Motor vehicle 84,Urban design 83,Biome 83
long 16.9887795 lat 46.457437 viewpoint 270 degrees.jpeg,Plant 96,Property 94,Nature 90,Tree 89,Building 86,Urban design 85,Grass 84,Biome 84,Line 82,Woody plant 81
long 16.9887795 lat 46.457437 viewpoint 90 degrees.jpeg,Cloud 95,Sky 88,Urban design 85,Building 84,Screenshot 82,Biome 82,Line 82,Window 80,Asphalt 80,Wheel 79
long 16.98882 lat 46.457376 viewpoint 0 degrees.jpeg,Cloud 97,Sky 94,Car 93,Building 92,Plant 92,Window 89,Asphalt 87,Road surface 87,Tree 87,Urban design 85
long 16.98882 lat 46.457376 viewpoint 180 degrees.jpeg,Plant 97,Tree 90,Nature 90,Asphalt 86,Land lot 85,Road surface 84,Grass 84,Motor vehicle 84,Urban design 83,Biome 83
long 16.98882 lat 46.457376 viewpoint 270 degrees.jpeg,Plant 96,Property 94,Nature 90,Tree 89,Building 86,Urban design 85,Grass 84,Biome 84,Line 82,Woody plant 81
long 16.98882 lat 46.457376 viewpoint 90 degrees.jpeg,Cloud 95,Sky 88,Urban design 85,Building 84,Screenshot 82,Biome 82,Line 82,Window 80,Asphalt 80,Wheel 79
long 16.988825 lat 46.45747125 viewpoint 0 degrees.jpeg,Cloud 97,Sky 94,Car 93,Building 92,Plant 92,Window 89,Asphalt 87,Road surface 87,Tree 87,Urban design 85
long 16.988825 lat 46.45747125 viewpoint 180 degrees.jpeg,Plant 97,Tree 90,Nature 90,Asphalt 86,Land lot 85,Road surface 84,Grass 84,Motor vehicle 84,Urban design 83,Biome 83
long 16.988825 lat 46.45747125 viewpoint 270 degrees.jpeg,Plant 96,Property 94,Nature 90,Tree 89,Building 87,Urban design 85,Grass 85,Biome 84,Line 82,Woody plant 81
long 16.988825 lat 46.45747125 viewpoint 90 degrees.jpeg,Cloud 95,Sky 88,Urban design 85,Building 84,Screenshot 82,Biome 82,Line 82,Window 80,Asphalt 80,Wheel 79
long 16.9888425 lat 46.457415 viewpoint 0 degrees.jpeg,Cloud 97,Sky 94,Car 93,Building 92,Plant 92,Window 89,Asphalt 87,Road surface 87,Tree 87,Urban design 85
long 16.9888425 lat 46.457415 viewpoint 180 degrees.jpeg,Plant 97,Tree 90,Nature 90,Asphalt 86,Land lot 85,Road surface 84,Grass 84,Motor vehicle 84,Urban design 83,Biome 83
long 16.9888425 lat 46.457415 viewpoint 270 degrees.jpeg,Plant 96,Property 94,Nature 90,Tree 88,Building 85,Urban design 85,Grass 85,Biome 84,Public space 81,Woody plant 81
long 16.9888425 lat 46.457415 viewpoint 90 degrees.jpeg,Cloud 95,Sky 88,Building 86,Architecture 86,Urban design 86,Biome 82,Screenshot 82,Font 80,Asphalt 80,Window 80
long 16.9888713333333 lat 46.4574483333333 viewpoint 0 degrees.jpeg,Cloud 97,Sky 94,Car 93,Building 92,Plant 92,Window 89,Asphalt 87,Road surface 87,Tree 87,Urban design 85
long 16.9888713333333 lat 46.4574483333333 viewpoint 180 degrees.jpeg,Plant 97,Tree 90,Nature 90,Asphalt 86,Land lot 85,Road surface 84,Grass 84,Motor vehicle 84,Urban design 83,Biome 83
long 16.9888713333333 lat 46.4574483333333 viewpoint 270 degrees.jpeg,Plant 96,Property 94,Nature 90,Tree 89,Building 86,Urban design 85,Grass 84,Biome 84,Line 82,Woody plant 81
long 16.9888713333333 lat 46.4574483333333 viewpoint 90 degrees.jpeg,Cloud 95,Sky 88,Urban design 85,Building 84,Screenshot 82,Biome 82,Line 82,Window 80,Asphalt 80,Wheel 79
long 16.9888975 lat 46.4574518333333 viewpoint 0 degrees.jpeg,Cloud 97,Sky 94,Car 93,Building 92,Plant 92,Window 89,Asphalt 87,Road surface 87,Tree 87,Urban design 85
long 16.9888975 lat 46.4574518333333 viewpoint 180 degrees.jpeg,Plant 97,Tree 90,Nature 90,Asphalt 86,Land lot 85,Road surface 84,Grass 84,Motor vehicle 84,Urban design 83,Biome 83
long 16.9888975 lat 46.4574518333333 viewpoint 270 degrees.jpeg,Plant 96,Property 94,Nature 90,Tree 89,Building 86,Urban design 85,Grass 84,Biome 84,Line 82,Woody plant 81
long 16.9888975 lat 46.4574518333333 viewpoint 90 degrees.jpeg,Cloud 95,Sky 88,Urban design 85,Building 84,Screenshot 82,Biome 82,Line 82,Window 80,Asphalt 80,Wheel 79
long 16.9889196666667 lat 46.457428 viewpoint 0 degrees.jpeg,Cloud 97,Sky 94,Car 93,Building 92,Plant 92,Window 89,Asphalt 87,Road surface 87,Tree 87,Urban design 85
long 16.9889196666667 lat 46.457428 viewpoint 180 degrees.jpeg,Plant 97,Tree 90,Nature 90,Asphalt 86,Land lot 85,Road surface 84,Grass 84,Motor vehicle 84,Urban design 83,Biome 83
long 16.9889196666667 lat 46.457428 viewpoint 270 degrees.jpeg,Plant 96,Property 94,Nature 90,Tree 89,Building 86,Urban design 85,Grass 84,Biome 84,Line 82,Woody plant 81
long 16.9889196666667 lat 46.457428 viewpoint 90 degrees.jpeg,Cloud 95,Sky 88,Urban design 85,Building 84,Screenshot 82,Biome 82,Line 82,Window 80,Asphalt 80,Wheel 79
long 16.98892575 lat 46.4573625 viewpoint 0 degrees.jpeg,Building 94,Cloud 93,Window 91,Urban design 86,Sky 85,Car 84,Vehicle 84,Asphalt 84,Screenshot 82,Road surface 81
long 16.98892575 lat 46.4573625 viewpoint 180 degrees.jpeg,Plant 95,Tree 89,Land lot 86,Asphalt 85,Urban design 85,Biome 84,Grass 83,Road surface 81,Car 81,Woody plant 80
long 16.98892575 lat 46.4573625 viewpoint 270 degrees.jpeg,Plant 97,Tree 90,Asphalt 86,Urban design 85,Mode of transport 85,Land lot 85,Screenshot 83,Biome 82,Woody plant 82,Software 80
long 16.98892575 lat 46.4573625 viewpoint 90 degrees.jpeg,Wheel 96,Cloud 92,Building 92,Tire 90,Vehicle 89,Window 89,Motor vehicle 85,Architecture 85,Urban design 85,Asphalt 85
