long 16.998462 lat 46.455281 viewpoint 0 degrees.jpeg,Car 97,Plant 97,Tire 96,Vehicle 95,Wheel 95,Motor vehicle 93,Tree 90,Asphalt 88,Mode of transport 86,Sky 85
long 16.998462 lat 46.455281 viewpoint 180 degrees.jpeg,Plant 96,Sky 94,Wheel 94,Car 93,Street light 92,Vehicle 91,Infrastructure 90,Tree 90,Nature 90,Road surface 89
long 16.998462 lat 46.455281 viewpoint 270 degrees.jpeg,Cloud 96,Plant 95,Sky 95,Car 93,Vehicle 91,Infrastructure 91,Asphalt 89,Road surface 89,Tree 89,Motor vehicle 89
long 16.998462 lat 46.455281 viewpoint 90 degrees.jpeg,Plant 95,Window 92,Building 90,Infrastructure 89,Tree 89,Road surface 88,Street light 87,Lighting 86,Vehicle 86,Asphalt 86
long 16.9985086666667 lat 46.45517 viewpoint 0 degrees.jpeg,Cloud 95,Sky 95,Plant 93,Car 91,Tree 90,Infrastructure 89,Asphalt 89,Road surface 89,Vehicle 89,Automotive mirror 85
long 16.9985086666667 lat 46.45517 viewpoint 180 degrees.jpeg,Cloud 96,Sky 96,Plant 95,Street light 91,Car 90,Building 90,Infrastructure 90,Tree 90,Asphalt 88,Road surface 88
long 16.9985086666667 lat 46.45517 viewpoint 270 degrees.jpeg,Car 96,Plant 96,Vehicle 91,Automotive tail & brake light 91,Tree 90,Cloud 89,Automotive mirror 89,Automotive lighting 88,Asphalt 87,Sky 87
long 16.9985086666667 lat 46.45517 viewpoint 90 degrees.jpeg,Building 97,Plant 96,Car 94,Vehicle 94,Wheel 90,Cloud 89,Infrastructure 89,Tree 89,Motor vehicle 88,Land lot 87
long 16.9985553333333 lat 46.455059 viewpoint 0 degrees.jpeg,Automotive parking light 98,Car 96,Vehicle 96,Wheel 95,Tire 94,Plant 94,Photograph 94,Tree 89,Automotive lighting 89,Asphalt 88
long 16.9985553333333 lat 46.455059 viewpoint 180 degrees.jpeg,Automotive parking light 98,Car 97,Tire 95,Cloud 94,Vehicle 94,Sky 93,Wheel 92,Automotive lighting 91,Building 91,Motor vehicle 90
long 16.9985553333333 lat 46.455059 viewpoint 270 degrees.jpeg,Automotive parking light 98,Car 98,Land vehicle 96,Tire 96,Vehicle 96,Automotive side-view mirror 96,Cloud 95,Automotive tail & brake light 94,Vehicle registration plate 91,Sky 91
long 16.9985553333333 lat 46.455059 viewpoint 90 degrees.jpeg,Building 97,Cloud 94,Sky 92,Window 90,Urban design 86,Street light 85,Architecture 85,Asphalt 83,Car 82,Line 82
long 16.9985658333333 lat 46.455052 viewpoint 0 degrees.jpeg,Automotive parking light 98,Car 96,Vehicle 96,Wheel 95,Photograph 94,Plant 94,Tire 94,Tree 89,Automotive lighting 88,Asphalt 88
long 16.9985658333333 lat 46.455052 viewpoint 180 degrees.jpeg,Automotive parking light 98,Car 97,Tire 95,Cloud 94,Vehicle 94,Sky 93,Wheel 92,Automotive lighting 91,Building 91,Motor vehicle 90
long 16.9985658333333 lat 46.455052 viewpoint 270 degrees.jpeg,Automotive parking light 98,Car 98,Land vehicle 96,Tire 96,Vehicle 96,Automotive side-view mirror 96,Cloud 95,Automotive tail & brake light 94,Vehicle registration plate 91,Sky 91
long 16.9985658333333 lat 46.455052 viewpoint 90 degrees.jpeg,Building 97,Cloud 94,Sky 92,Window 90,Urban design 86,Street light 85,Architecture 85,Asphalt 83,Car 82,Line 82
long 16.9985891666667 lat 46.4549965 viewpoint 0 degrees.jpeg,Automotive parking light 98,Car 96,Vehicle 96,Wheel 95,Tire 94,Plant 94,Photograph 94,Tree 89,Automotive lighting 89,Asphalt 88
long 16.9985891666667 lat 46.4549965 viewpoint 180 degrees.jpeg,Automotive parking light 98,Car 97,Tire 95,Cloud 94,Vehicle 94,Sky 93,Wheel 92,Automotive lighting 91,Building 91,Motor vehicle 90
