long 16.992164 lat 46.448739 viewpoint 0 degrees.jpeg,Sky 96,Cloud 94,Photograph 94,Street light 91,Infrastructure 90,Road surface 89,Asphalt 87,Window 87,Tree 86,Urban design 84
long 16.992164 lat 46.448739 viewpoint 180 degrees.jpeg,Cloud 95,Plant 95,Photograph 94,Sky 92,Light 91,Nature 90,Tree 90,Infrastructure 90,Asphalt 87,Road surface 86
long 16.992164 lat 46.448739 viewpoint 270 degrees.jpeg,Cloud 98,Sky 97,Plant 95,Street light 90,Tree 88,Asphalt 88,Land lot 85,Mode of transport 84,Thoroughfare 82,Urban design 81
long 16.992164 lat 46.448739 viewpoint 90 degrees.jpeg,Plant 96,Photograph 94,Tree 89,Asphalt 88,Sky 87,Mode of transport 85,Cloud 84,Biome 83,Screenshot 82,Line 82
long 16.992937 lat 46.449286 viewpoint 0 degrees.jpeg,Cloud 98,Building 97,Sky 96,Plant 96,Property 94,Car 91,Tree 89,House 89,Window 89,Land lot 86
long 16.992937 lat 46.449286 viewpoint 180 degrees.jpeg,Plant 96,Ecoregion 92,Tree 90,Tire 87,Biome 84,Asphalt 83,Screenshot 83,Wheel 82,Woody plant 82,Grass 81
long 16.992937 lat 46.449286 viewpoint 270 degrees.jpeg,Cloud 98,Sky 96,Building 95,Property 95,Nature 90,Window 88,House 87,Land lot 87,Biome 85,Tree 83
long 16.992937 lat 46.449286 viewpoint 90 degrees.jpeg,Plant 95,Tree 90,Land lot 86,Street light 85,Biome 84,Fence 83,Screenshot 82,Woody plant 82,Urban design 81,Grass 80
long 16.992981037037 lat 46.4492468703704 viewpoint 0 degrees.jpeg,Cloud 98,Building 97,Sky 96,Plant 96,Property 94,Car 91,Tree 89,House 89,Window 89,Land lot 86
long 16.992981037037 lat 46.4492468703704 viewpoint 180 degrees.jpeg,Plant 96,Ecoregion 92,Tree 90,Tire 87,Biome 84,Asphalt 83,Screenshot 83,Wheel 82,Woody plant 82,Grass 81
long 16.992981037037 lat 46.4492468703704 viewpoint 270 degrees.jpeg,Cloud 98,Sky 96,Building 95,Property 95,Nature 90,Window 88,House 87,Land lot 87,Biome 85,Tree 83
long 16.992981037037 lat 46.4492468703704 viewpoint 90 degrees.jpeg,Plant 95,Tree 90,Land lot 86,Street light 85,Biome 84,Fence 83,Screenshot 82,Woody plant 82,Urban design 81,Grass 80
long 16.99298456 lat 46.44924374 viewpoint 0 degrees.jpeg,Cloud 98,Building 97,Sky 96,Plant 96,Property 94,Car 91,Tree 89,House 89,Window 89,Land lot 86
long 16.99298456 lat 46.44924374 viewpoint 180 degrees.jpeg,Plant 96,Ecoregion 92,Tree 90,Tire 87,Biome 84,Asphalt 83,Screenshot 83,Wheel 82,Woody plant 82,Grass 81
long 16.99298456 lat 46.44924374 viewpoint 270 degrees.jpeg,Cloud 98,Sky 96,Building 95,Property 95,Nature 90,Window 88,House 87,Land lot 87,Biome 85,Tree 83
long 16.99298456 lat 46.44924374 viewpoint 90 degrees.jpeg,Plant 95,Tree 90,Land lot 86,Street light 85,Biome 84,Fence 83,Screenshot 82,Woody plant 82,Urban design 81,Grass 80
long 16.993008625 lat 46.449226875 viewpoint 0 degrees.jpeg,Cloud 98,Building 97,Sky 96,Plant 96,Property 94,Car 91,Tree 89,House 89,Window 89,Land lot 86
long 16.993008625 lat 46.449226875 viewpoint 180 degrees.jpeg,Plant 96,Ecoregion 92,Tree 90,Tire 87,Biome 84,Asphalt 83,Screenshot 83,Wheel 82,Woody plant 82,Grass 81
long 16.993008625 lat 46.449226875 viewpoint 270 degrees.jpeg,Cloud 98,Sky 96,Building 95,Property 95,Nature 90,Window 88,House 87,Land lot 87,Biome 85,Tree 83
long 16.993008625 lat 46.449226875 viewpoint 90 degrees.jpeg,Plant 95,Tree 90,Land lot 86,Street light 85,Biome 84,Fence 83,Screenshot 82,Woody plant 82,Urban design 81,Grass 80
