long 17.005817 lat 46.454978 viewpoint 0 degrees.jpeg,Photograph 94,Sky 91,Light 91,Infrastructure 91,Plant 91,Road surface 90,Asphalt 89,Tree 88,Building 87,Thoroughfare 86
long 17.005817 lat 46.454978 viewpoint 180 degrees.jpeg,Photograph 94,Tree 89,Asphalt 88,Road surface 87,Mode of transport 87,Building 86,Motor vehicle 84,Urban design 83,Screenshot 82,Thoroughfare 82
long 17.005817 lat 46.454978 viewpoint 270 degrees.jpeg,Building 95,Plant 92,Window 87,House 86,Screenshot 83,Biome 83,Tree 81,Facade 79,Wood 78,Software 77
long 17.005817 lat 46.454978 viewpoint 90 degrees.jpeg,Tree 89,Screenshot 81,Font 81,Sky 80,Urban design 78,Technology 74,Software 74,Asphalt 72,Plant 69,Multimedia 69
long 17.005849 lat 46.454882 viewpoint 0 degrees.jpeg,Sky 91,Road surface 90,Infrastructure 90,Asphalt 89,Building 89,Tree 88,Mode of transport 86,Urban design 85,Thoroughfare 84,Line 82
long 17.005849 lat 46.454882 viewpoint 180 degrees.jpeg,Photograph 94,Plant 91,Tree 90,Infrastructure 90,Road surface 88,Asphalt 87,Biome 84,Urban design 83,Line 82,Sky 82
long 17.005849 lat 46.454882 viewpoint 270 degrees.jpeg,Photograph 94,Plant 94,Nature 90,Tree 90,Biome 84,Font 83,Software 83,Screenshot 83,Woody plant 80,Adaptation 79
long 17.005849 lat 46.454882 viewpoint 90 degrees.jpeg,Tree 87,Font 83,Sky 83,Line 82,Biome 82,Screenshot 81,Asphalt 80,Window 80,Technology 77,Plant 75
long 17.005881 lat 46.454786 viewpoint 0 degrees.jpeg,Sky 92,Infrastructure 90,Asphalt 89,Tree 89,Road surface 88,Mode of transport 84,Thoroughfare 83,Line 82,Urban design 81,Woody plant 80
long 17.005881 lat 46.454786 viewpoint 180 degrees.jpeg,Plant 94,Sky 89,Tree 87,Moon 87,Asphalt 86,Biome 83,Screenshot 83,Urban design 81,Font 79,Cloud 78
long 17.005881 lat 46.454786 viewpoint 270 degrees.jpeg,Photograph 94,Plant 92,Tree 90,Asphalt 87,Road surface 85,Font 84,Screenshot 84,Biome 83,Urban design 83,Software 82
long 17.005881 lat 46.454786 viewpoint 90 degrees.jpeg,Road surface 89,Tree 89,Asphalt 88,Urban design 84,Mode of transport 84,Sky 83,Plant 82,Screenshot 81,Thoroughfare 80,Road 78
long 17.00590625 lat 46.454893 viewpoint 0 degrees.jpeg,Automotive parking light 98,Plant 94,Automotive tail & brake light 92,Tire 92,Vehicle 91,Sky 91,Automotive lighting 91,Car 90,Infrastructure 90,Wheel 89
long 17.00590625 lat 46.454893 viewpoint 180 degrees.jpeg,Photograph 94,Tree 91,Asphalt 87,Road surface 87,Building 86,Sky 85,Mode of transport 84,Biome 83,Line 82,Urban design 82
long 17.00590625 lat 46.454893 viewpoint 270 degrees.jpeg,Window 94,Tree 89,Building 87,Plant 84,Biome 84,House 83,Screenshot 81,Font 80,Woody plant 80,Residential area 79
long 17.00590625 lat 46.454893 viewpoint 90 degrees.jpeg,Tree 89,Plant 82,Asphalt 81,Screenshot 80,Technology 75,Font 75,Building 73,Urban design 73,Event 69,Software 69
