long 16.987119 lat 46.45524 viewpoint 0 degrees.jpeg,Car 97,Cloud 97,Vehicle 96,Sky 95,Building 93,Window 92,Wheel 90,Infrastructure 90,Tire 89,Automotive lighting 89
long 16.987119 lat 46.45524 viewpoint 180 degrees.jpeg,Property 94,Window 91,Vehicle 89,Building 88,Asphalt 86,Urban design 84,Font 83,Screenshot 83,Road surface 82,House 79
long 16.987119 lat 46.45524 viewpoint 270 degrees.jpeg,Window 94,Property 94,Building 87,Architecture 85,Brick 84,Fixture 83,Font 82,Wall 82,Facade 80,Brickwork 74
long 16.987119 lat 46.45524 viewpoint 90 degrees.jpeg,Tire 98,Wheel 98,Car 98,Automotive parking light 97,Land vehicle 97,Vehicle 96,Window 93,Motor vehicle 91,Automotive design 90,Building 89
long 16.987226 lat 46.455052 viewpoint 0 degrees.jpeg,Tire 96,Wheel 95,Building 93,Window 93,Car 93,Vehicle 93,Motor vehicle 89,Asphalt 83,Automotive lighting 82,Automotive exterior 80
long 16.987226 lat 46.455052 viewpoint 180 degrees.jpeg,Window 94,Building 89,Font 81,Public space 81,Facade 77,City 74,Screenshot 72,Road 71,Advertising 71,Street 69
long 16.987226 lat 46.455052 viewpoint 270 degrees.jpeg,Cloud 98,Car 97,Land vehicle 96,Vehicle 95,Sky 95,Building 95,Window 91,Automotive lighting 90,Infrastructure 89,Asphalt 87
long 16.987226 lat 46.455052 viewpoint 90 degrees.jpeg,Cloud 97,Car 96,Sky 94,Vehicle 93,Infrastructure 90,Asphalt 89,Motor vehicle 88,Mode of transport 87,Building 87,Automotive lighting 86
long 16.9872298333333 lat 46.4551773333333 viewpoint 0 degrees.jpeg,Building 95,Window 94,Mode of transport 85,Urban design 85,Tree 79,Facade 79,Font 79,Asphalt 78,Parking 77,Condominium 77
long 16.9872298333333 lat 46.4551773333333 viewpoint 180 degrees.jpeg,Building 89,Lighting 86,Window 83,Asphalt 79,Road 76,Metropolitan area 76,Screenshot 75,Display device 75,Facade 75,Font 74
long 16.9872298333333 lat 46.4551773333333 viewpoint 270 degrees.jpeg,Car 97,Cloud 97,Sky 96,Building 95,Vehicle 94,Tire 91,Window 91,Infrastructure 90,Asphalt 88,Wheel 88
long 16.9872298333333 lat 46.4551773333333 viewpoint 90 degrees.jpeg,Cloud 97,Wheel 96,Tire 95,Car 95,Photograph 94,Vehicle 94,Sky 94,Automotive carrying rack 93,Vehicle registration plate 92,Automotive lighting 91
long 16.9872386666667 lat 46.4551411666667 viewpoint 0 degrees.jpeg,Building 95,Window 94,Mode of transport 85,Urban design 85,Tree 80,Font 79,Facade 79,Asphalt 78,Parking 77,Condominium 77
long 16.9872386666667 lat 46.4551411666667 viewpoint 180 degrees.jpeg,Building 89,Lighting 86,Window 83,Asphalt 79,Road 76,Metropolitan area 76,Screenshot 75,Display device 75,Facade 75,Font 74
long 16.9872386666667 lat 46.4551411666667 viewpoint 270 degrees.jpeg,Car 97,Cloud 97,Sky 96,Building 95,Vehicle 94,Window 91,Tire 91,Infrastructure 90,Asphalt 88,Wheel 87
long 16.9872386666667 lat 46.4551411666667 viewpoint 90 degrees.jpeg,Cloud 97,Wheel 96,Tire 95,Car 95,Photograph 94,Vehicle 94,Sky 94,Automotive carrying rack 93,Vehicle registration plate 92,Automotive lighting 91
long 16.9872513333333 lat 46.4552303333333 viewpoint 0 degrees.jpeg,Building 95,Window 94,Mode of transport 85,Urban design 85,Tree 80,Font 79,Facade 79,Asphalt 78,Parking 77,Condominium 77
long 16.9872513333333 lat 46.4552303333333 viewpoint 180 degrees.jpeg,Building 88,Lighting 86,Window 81,Asphalt 81,Screenshot 76,Road 76,Font 75,Facade 75,Display device 74,Pedestrian 72
long 16.9872513333333 lat 46.4552303333333 viewpoint 270 degrees.jpeg,Car 97,Cloud 97,Sky 96,Building 95,Vehicle 94,Tire 91,Window 91,Infrastructure 90,Asphalt 88,Wheel 88
long 16.9872513333333 lat 46.4552303333333 viewpoint 90 degrees.jpeg,Cloud 97,Wheel 96,Tire 95,Car 95,Photograph 94,Vehicle 94,Sky 94,Automotive carrying rack 93,Vehicle registration plate 92,Automotive lighting 91
long 16.9872596666667 lat 46.4552216666667 viewpoint 0 degrees.jpeg,Building 95,Window 94,Mode of transport 85,Urban design 85,Tree 80,Font 79,Facade 79,Asphalt 78,Parking 77,Condominium 77
long 16.9872596666667 lat 46.4552216666667 viewpoint 180 degrees.jpeg,Building 88,Lighting 86,Window 81,Asphalt 81,Screenshot 76,Road 76,Font 75,Facade 75,Display device 74,Pedestrian 72
