long 16.987272 lat 46.4552 viewpoint 0 degrees.jpeg,Building 95,Window 94,Mode of transport 85,Urban design 85,Font 80,Tree 80,Facade 79,Parking 77,Condominium 77,Asphalt 77
long 16.987272 lat 46.4552 viewpoint 180 degrees.jpeg,Building 89,Lighting 86,Window 85,Asphalt 80,Road 76,Facade 75,Font 75,Display device 74,Screenshot 74,Pedestrian 72
long 16.987272 lat 46.4552 viewpoint 270 degrees.jpeg,Car 97,Cloud 97,Sky 96,Building 95,Vehicle 94,Tire 92,Window 91,Infrastructure 90,Wheel 89,Asphalt 88
long 16.987272 lat 46.4552 viewpoint 90 degrees.jpeg,Cloud 97,Wheel 96,Tire 95,Car 95,Photograph 94,Sky 94,Vehicle 94,Automotive carrying rack 93,Vehicle registration plate 92,Automotive lighting 91
long 16.987304 lat 46.455285 viewpoint 0 degrees.jpeg,Building 93,Plant 89,Urban design 85,Tree 85,Neighbourhood 82,Window 82,Sidewalk 79,Condominium 78,City 78,Facade 77
long 16.987304 lat 46.455285 viewpoint 180 degrees.jpeg,Automotive parking light 98,Car 96,Building 95,Tire 94,Photograph 94,Wheel 94,Vehicle 94,Cloud 90,Sky 89,Infrastructure 89
long 16.987304 lat 46.455285 viewpoint 270 degrees.jpeg,Building 95,Cloud 95,Sky 91,Infrastructure 89,Window 88,Lighting 87,Road surface 86,Asphalt 86,Architecture 86,Urban design 85
long 16.987304 lat 46.455285 viewpoint 90 degrees.jpeg,Cloud 95,Sky 93,Car 93,Vehicle 91,Infrastructure 90,Asphalt 89,Window 88,Road surface 88,Mode of transport 85,Motor vehicle 85
long 16.987336 lat 46.45537 viewpoint 0 degrees.jpeg,Building 94,Plant 89,Urban design 85,Tree 85,Window 84,Neighbourhood 82,Sidewalk 79,City 78,Facade 77,Condominium 77
long 16.987336 lat 46.45537 viewpoint 180 degrees.jpeg,Automotive parking light 98,Car 96,Building 95,Tire 94,Wheel 94,Photograph 94,Vehicle 94,Cloud 90,Sky 90,Infrastructure 89
long 16.987336 lat 46.45537 viewpoint 270 degrees.jpeg,Cloud 95,Building 95,Sky 92,Infrastructure 89,Window 88,Lighting 87,Road surface 86,Asphalt 86,Architecture 86,Urban design 85
long 16.987336 lat 46.45537 viewpoint 90 degrees.jpeg,Cloud 95,Sky 93,Car 93,Vehicle 91,Infrastructure 90,Asphalt 89,Window 88,Road surface 88,Mode of transport 85,Motor vehicle 85
long 16.9873558333333 lat 46.4552306666667 viewpoint 0 degrees.jpeg,Building 93,Plant 89,Urban design 85,Tree 85,Neighbourhood 82,Window 82,Sidewalk 79,Condominium 78,City 78,Facade 77
long 16.9873558333333 lat 46.4552306666667 viewpoint 180 degrees.jpeg,Automotive parking light 98,Car 96,Building 95,Tire 94,Photograph 94,Wheel 94,Vehicle 94,Cloud 90,Sky 89,Infrastructure 89
long 16.9873558333333 lat 46.4552306666667 viewpoint 270 degrees.jpeg,Cloud 95,Building 95,Sky 92,Infrastructure 89,Window 88,Lighting 87,Road surface 86,Asphalt 86,Architecture 86,Urban design 85
long 16.9873558333333 lat 46.4552306666667 viewpoint 90 degrees.jpeg,Cloud 95,Sky 93,Car 93,Vehicle 91,Infrastructure 90,Asphalt 89,Window 88,Road surface 88,Mode of transport 85,Motor vehicle 85
