long 16.998412 lat 46.456045 viewpoint 0 degrees.jpeg,Cloud 93,Street light 92,Asphalt 87,Sky 87,Tree 86,Urban design 83,Screenshot 82,Font 82,Thoroughfare 80,Building 78
long 16.998412 lat 46.456045 viewpoint 180 degrees.jpeg,Sky 93,Plant 91,Asphalt 89,Road surface 88,Tree 86,Cloud 86,Mode of transport 85,Thoroughfare 83,Urban design 83,Font 82
long 16.998412 lat 46.456045 viewpoint 270 degrees.jpeg,Car 96,Plant 95,Building 94,Tire 93,Vehicle 92,Wheel 92,Infrastructure 90,Asphalt 87,Tree 87,Sky 86
long 16.998412 lat 46.456045 viewpoint 90 degrees.jpeg,Street light 94,Infrastructure 89,Sky 88,Lighting 86,Building 86,Architecture 86,Cloud 84,Biome 83,Line 82,Tree 81
long 16.9990557142857 lat 46.4557675 viewpoint 0 degrees.jpeg,Tire 98,Automotive parking light 98,Wheel 98,Car 97,Plant 96,Vehicle 96,Window 94,Motor vehicle 93,Automotive lighting 91,Tree 90
long 16.9990557142857 lat 46.4557675 viewpoint 180 degrees.jpeg,Property 94,Building 92,Window 92,Architecture 85,Urban design 85,Land lot 84,Plant 83,Line 82,Font 80,Screenshot 79
long 16.9990557142857 lat 46.4557675 viewpoint 270 degrees.jpeg,Car 97,Vehicle 95,Plant 94,Motor vehicle 93,Building 91,Tire 91,Sky 91,Tree 89,Infrastructure 89,Asphalt 88
long 16.9990557142857 lat 46.4557675 viewpoint 90 degrees.jpeg,Plant 96,Tree 90,Infrastructure 90,Road surface 89,Asphalt 88,Car 86,Mode of transport 86,Urban design 85,Automotive mirror 85,Thoroughfare 85
long 16.9992735555556 lat 46.4556995 viewpoint 0 degrees.jpeg,Plant 97,Property 95,Photograph 94,Building 93,Window 91,Tree 89,Asphalt 88,Urban design 85,Mode of transport 84,Land lot 84
long 16.9992735555556 lat 46.4556995 viewpoint 180 degrees.jpeg,Plant 96,Property 94,Building 93,Tree 87,Land lot 87,Urban design 86,Vegetation 85,Biome 84,Grass 84,Line 83
long 16.9992735555556 lat 46.4556995 viewpoint 270 degrees.jpeg,Wheel 98,Tire 97,Land vehicle 96,Plant 95,Vehicle 95,Car 95,Window 92,Building 91,Motor vehicle 90,Infrastructure 90
long 16.9992735555556 lat 46.4556995 viewpoint 90 degrees.jpeg,Land vehicle 96,Car 95,Plant 94,Vehicle 93,Motor vehicle 90,Tree 90,Infrastructure 90,Wheel 89,Asphalt 89,Road surface 89
long 16.9992963928571 lat 46.4557997708333 viewpoint 0 degrees.jpeg,Plant 97,Property 95,Photograph 94,Building 93,Window 91,Tree 89,Asphalt 88,Urban design 85,Mode of transport 84,Land lot 84
long 16.999299042735 lat 46.4557742136752 viewpoint 0 degrees.jpeg,Plant 97,Property 95,Photograph 94,Building 93,Window 91,Tree 89,Asphalt 88,Urban design 85,Mode of transport 84,Land lot 84
long 16.999299042735 lat 46.4557742136752 viewpoint 180 degrees.jpeg,Plant 96,Property 94,Building 93,Tree 87,Land lot 87,Urban design 86,Vegetation 85,Biome 84,Grass 84,Line 83
long 16.999299042735 lat 46.4557742136752 viewpoint 270 degrees.jpeg,Wheel 98,Tire 97,Land vehicle 96,Plant 95,Vehicle 95,Car 95,Window 92,Building 91,Motor vehicle 90,Infrastructure 90
long 16.999299042735 lat 46.4557742136752 viewpoint 90 degrees.jpeg,Land vehicle 96,Car 95,Plant 94,Vehicle 93,Motor vehicle 90,Tree 90,Infrastructure 90,Wheel 89,Asphalt 89,Road surface 89
long 16.9993088559671 lat 46.4557121111111 viewpoint 0 degrees.jpeg,Plant 97,Property 95,Photograph 94,Building 93,Window 91,Tree 89,Asphalt 88,Urban design 85,Mode of transport 84,Land lot 84
long 16.9993088559671 lat 46.4557121111111 viewpoint 180 degrees.jpeg,Plant 96,Property 94,Building 93,Tree 87,Land lot 87,Urban design 86,Vegetation 85,Biome 84,Grass 84,Line 83
long 16.9993088559671 lat 46.4557121111111 viewpoint 270 degrees.jpeg,Wheel 98,Tire 97,Land vehicle 96,Plant 95,Vehicle 95,Car 95,Window 92,Building 91,Motor vehicle 90,Infrastructure 90
long 16.9993088559671 lat 46.4557121111111 viewpoint 90 degrees.jpeg,Land vehicle 96,Car 95,Plant 94,Vehicle 93,Motor vehicle 90,Tree 90,Infrastructure 90,Wheel 89,Asphalt 89,Road surface 89
long 16.9993122469136 lat 46.4557375185185 viewpoint 0 degrees.jpeg,Plant 97,Property 95,Photograph 94,Building 93,Window 91,Tree 89,Asphalt 88,Urban design 85,Mode of transport 84,Land lot 84
long 16.9993122469136 lat 46.4557375185185 viewpoint 180 degrees.jpeg,Plant 96,Property 94,Building 93,Tree 87,Land lot 87,Urban design 86,Vegetation 85,Biome 84,Grass 84,Line 83
long 16.9993122469136 lat 46.4557375185185 viewpoint 270 degrees.jpeg,Wheel 98,Tire 97,Land vehicle 96,Plant 95,Vehicle 95,Car 95,Window 92,Building 91,Motor vehicle 90,Infrastructure 90
long 16.9993122469136 lat 46.4557375185185 viewpoint 90 degrees.jpeg,Land vehicle 96,Car 95,Plant 94,Vehicle 93,Motor vehicle 90,Tree 90,Infrastructure 90,Wheel 89,Asphalt 89,Road surface 89
long 16.9993143019943 lat 46.4558885470085 viewpoint 0 degrees.jpeg,Cloud 97,Sky 96,Property 94,Plant 94,Building 93,Tree 89,Asphalt 87,Road surface 86,Mode of transport 85,Urban design 85
long 16.9993143019943 lat 46.4558885470085 viewpoint 180 degrees.jpeg,Car 96,Photograph 94,Sky 91,Cloud 91,Infrastructure 90,Tree 89,Building 88,Asphalt 88,Road surface 87,Wheel 86
long 16.9993143019943 lat 46.4558885470085 viewpoint 270 degrees.jpeg,Automotive parking light 98,Car 98,Tire 96,Wheel 96,Building 95,Vehicle 95,Photograph 94,Plant 93,Light 91,Motor vehicle 90
long 16.9993143019943 lat 46.4558885470085 viewpoint 90 degrees.jpeg,Cloud 93,Building 87,Sky 87,Window 87,Tire 84,Asphalt 82,Shooter game 82,Font 82,Automotive tire 80,Screenshot 79
long 16.9993156378601 lat 46.4557629259259 viewpoint 0 degrees.jpeg,Plant 97,Property 95,Photograph 94,Building 93,Window 91,Tree 89,Asphalt 88,Urban design 85,Mode of transport 84,Land lot 84
