long 16.987189 lat 46.455059 viewpoint 0 degrees.jpeg,Tire 96,Wheel 95,Window 94,Building 93,Car 93,Vehicle 93,Motor vehicle 90,Asphalt 84,Automotive lighting 80,Urban design 80
long 16.987189 lat 46.455059 viewpoint 180 degrees.jpeg,Window 94,Building 89,Font 81,Facade 77,City 75,Screenshot 72,Advertising 71,Road 71,Street 70,Pedestrian 69
long 16.987189 lat 46.455059 viewpoint 270 degrees.jpeg,Cloud 98,Car 97,Land vehicle 96,Vehicle 95,Sky 95,Building 95,Window 91,Infrastructure 89,Automotive lighting 89,Asphalt 88
long 16.987189 lat 46.455059 viewpoint 90 degrees.jpeg,Cloud 97,Car 96,Vehicle 94,Sky 93,Infrastructure 90,Asphalt 89,Motor vehicle 88,Mode of transport 87,Building 87,Automotive lighting 86
long 16.9872834578947 lat 46.4552050263158 viewpoint 0 degrees.jpeg,Building 95,Window 94,Mode of transport 85,Urban design 85,Tree 81,Font 80,Facade 79,Asphalt 78,City 75,Parking 74
long 16.9872834578947 lat 46.4552050263158 viewpoint 180 degrees.jpeg,Building 88,Lighting 86,Window 85,Asphalt 83,Road 76,Facade 76,Screenshot 75,Display device 74,Font 74,Pedestrian 72
long 16.9872834578947 lat 46.4552050263158 viewpoint 270 degrees.jpeg,Car 97,Cloud 97,Sky 96,Building 95,Vehicle 94,Tire 92,Window 91,Infrastructure 90,Asphalt 88,Wheel 87
long 16.9872834578947 lat 46.4552050263158 viewpoint 90 degrees.jpeg,Cloud 97,Tire 96,Wheel 96,Car 96,Photograph 94,Vehicle 94,Sky 93,Automotive carrying rack 92,Vehicle registration plate 92,Motor vehicle 91
long 16.98728518 lat 46.4552141 viewpoint 0 degrees.jpeg,Building 93,Plant 89,Tree 86,Urban design 85,Window 82,Neighbourhood 81,City 78,Sidewalk 78,Metropolitan area 78,Road 77
long 16.98728518 lat 46.4552141 viewpoint 180 degrees.jpeg,Automotive parking light 98,Car 96,Building 95,Tire 95,Wheel 94,Photograph 94,Vehicle 94,Cloud 91,Infrastructure 90,Sky 86
long 16.98728518 lat 46.4552141 viewpoint 270 degrees.jpeg,Building 96,Cloud 96,Infrastructure 90,Sky 89,Window 88,Asphalt 87,Lighting 87,Road surface 86,Architecture 86,Urban design 85
