Features,Safe ,Unsafe,safe,unsafe,diff,,,,,,,
Sky ,593876,399361,33.59,0.00,33.59,,,,,,,
Tree ,492107,338600,26.89,0.65,26.24,,,,,,,
Building ,340089,158174,21.23,42.22,20.99,,,,,,,
Asphalt ,466597,316402,19.93,0.23,19.70,,,,,,,
Plant ,551526,353202,14.34,1.51,12.83,,,,,,,
Cloud ,462182,303987,12.83,0.07,12.76,,,,,,,
Window ,246107,117361,14.90,25.21,10.30,,,,,,,
Property ,194383,85118,22.08,29.87,7.78,,,,,,,
Urban design ,231202,121951,5.06,11.37,6.30,,,,,,,
Nature ,168561,129602,12.74,7.22,5.52,,,,,,,
Infrastructure ,290983,195085,5.60,0.24,5.36,,,,,,,
Road surface ,308751,203134,4.51,0.01,4.50,,,,,,,
Land lot ,211659,116000,2.67,6.95,4.28,,,,,,,
Car ,195746,107913,2.36,5.90,3.54,,,,,,,
Natural landscape ,73000,76926,34.28,30.79,3.49,,,,,,,
Mode of transport ,139277,106085,8.97,5.48,3.49,,,,,,,
House ,119461,49473,19.19,22.40,3.21,,,,,,,
Ecoregion ,83416,74352,16.59,13.99,2.61,,,,,,,
Vehicle ,161032,89250,2.04,4.37,2.33,,,,,,,
Thoroughfare ,92018,70332,5.48,3.97,1.51,,,,,,,
Light ,50504,47017,12.41,11.30,1.11,,,,,,,
Line ,94597,68518,2.98,1.89,1.09,,,,,,,
Wheel ,104204,57692,1.67,2.67,1.00,,,,,,,
Natural environment ,38783,39889,15.68,14.78,0.90,,,,,,,
Tire ,118433,68960,0.57,1.41,0.83,,,,,,,
Photograph ,138456,91908,0.98,0.16,0.82,,,,,,,
Grass ,101469,70147,1.52,0.73,0.79,,,,,,,
Architecture ,49447,17387,14.71,15.36,0.65,,,,,,,
Biome ,240624,152361,0.76,0.22,0.53,,,,,,,
Automotive mirror ,30999,30104,9.35,8.87,0.48,,,,,,,
Lighting ,53030,28266,1.67,1.99,0.32,,,,,,,
Motor vehicle ,103115,63136,0.03,0.29,0.26,,,,,,,
Woody plant ,41222,30683,1.58,1.34,0.25,,,,,,,
Vegetation ,24644,22229,4.83,4.60,0.23,,,,,,,
Facade ,42632,23002,1.19,1.39,0.20,,,,,,,
Road ,17493,17300,5.69,5.53,0.16,,,,,,,
Automotive tire ,15570,16348,6.74,6.59,0.15,,,,,,,
Residential area ,23845,10248,3.55,3.67,0.12,,,,,,,
Terrestrial plant ,21814,17006,1.35,1.26,0.09,,,,,,,
Landscape ,12912,12340,3.49,3.41,0.08,,,,,,,
Automotive parking light ,30661,17387,0.43,0.50,0.07,,,,,,,
Product ,12269,11696,3.27,3.20,0.07,,,,,,,
Automotive lighting ,32309,18714,0.29,0.36,0.07,,,,,,,
Land vehicle ,26116,14711,0.42,0.47,0.06,,,,,,,
Wood ,16642,7296,2.28,2.33,0.06,,,,,,,
World ,27114,15999,0.16,0.20,0.04,,,,,,,
Slope ,11763,4211,3.40,3.44,0.04,,,,,,,
Real estate ,20352,11485,0.32,0.36,0.03,,,,,,,
Door ,15798,8287,0.64,0.67,0.03,,,,,,,
Plain ,7110,6944,2.14,2.12,0.03,,,,,,,
Fence ,13203,6780,0.66,0.68,0.02,,,,,,,
Vehicle registration plate ,12436,6535,0.50,0.52,0.02,,,,,,,
Automotive tail & brake light ,10659,5397,0.60,0.62,0.02,,,,,,,
Green ,12136,8634,0.21,0.20,0.01,,,,,,,
Neighbourhood ,9351,4604,0.65,0.67,0.01,,,,,,,
Graphics software ,11265,6322,0.20,0.21,0.01,,,,,,,
Plant community ,1976,3791,5.68,5.67,0.01,,,,,,,
Grassland ,4095,3873,1.03,1.02,0.01,,,,,,,
Multimedia ,4574,3999,0.71,0.70,0.01,,,,,,,
Gas ,6046,4698,0.35,0.34,0.01,,,,,,,
Cottage ,4508,943,3.47,3.47,0.01,,,,,,,
